player,position,base_value,projected_points,points_is_real,auction_eligible,eligibility_reason
Bill Croskey-Merritt,RB,42.0,557.4333333333333,False,True,not a confirmed keeper or college-rights hold
Josh Allen,QB,40.0,328.82,True,True,not a confirmed keeper or college-rights hold
Chris Godwin Jr,WR,37.0,134.26,True,True,not a confirmed keeper or college-rights hold
Zach Charbonnet,RB,36.0,107.61,True,True,not a confirmed keeper or college-rights hold
Travis Etienne,RB,35.0,190.4,True,True,not a confirmed keeper or college-rights hold
Nick Chubb,RB,34.0,451.25555555555553,False,True,not a confirmed keeper or college-rights hold
JK Dobbins,RB,34.0,134.15,True,True,not a confirmed keeper or college-rights hold
DK Metcalf,WR,32.0,148.53,True,True,not a confirmed keeper or college-rights hold
Austin Ekeler,RB,31.0,411.43888888888887,False,True,not a confirmed keeper or college-rights hold
Josh Downs,WR,30.0,145.07,True,True,not a confirmed keeper or college-rights hold
Brian Robinson Jr,RB,28.0,77.14,True,True,not a confirmed keeper or college-rights hold
Michael Pittman Jr,WR,27.0,137.83,True,True,not a confirmed keeper or college-rights hold
Courtland Sutton,WR,27.0,137.35,True,True,not a confirmed keeper or college-rights hold
Lamar Jackson,QB,25.0,289.92,True,True,not a confirmed keeper or college-rights hold
Matthew Golden,WR,22.0,127.74,True,True,not a confirmed keeper or college-rights hold
Jakobi Meyers,WR,21.0,131.61,True,True,not a confirmed keeper or college-rights hold
Stefon Diggs,WR,20.0,130.42,True,True,not a confirmed keeper or college-rights hold
Keaton Mitchell,RB,19.0,90.45,True,True,not a confirmed keeper or college-rights hold
Khalil Shakir,WR,19.0,122.83,True,True,not a confirmed keeper or college-rights hold
Jalen Hurts,QB,18.0,297.46,True,True,not a confirmed keeper or college-rights hold
Joe Burrow,QB,17.0,282.7,True,True,not a confirmed keeper or college-rights hold
Tyler Allgeier,RB,17.0,86.65,True,True,not a confirmed keeper or college-rights hold
Romeo Doubs,WR,17.0,122.25,True,True,not a confirmed keeper or college-rights hold
Alvin Kamara,RB,16.0,68.7,True,True,not a confirmed keeper or college-rights hold
Jayden Daniels,QB,16.0,293.28,True,True,not a confirmed keeper or college-rights hold
KC Concepcion,WR,16.0,118.36,True,True,not a confirmed keeper or college-rights hold
Isiah Pacheco,RB,16.0,73.93,True,True,not a confirmed keeper or college-rights hold
George Kittle,TE,15.0,130.46,True,True,not a confirmed keeper or college-rights hold
CJ Stroud,QB,15.0,245.14,True,True,not a confirmed keeper or college-rights hold
Dylan Sampson,RB,15.0,79.3,True,True,not a confirmed keeper or college-rights hold
Ricky Pearsall,WR,15.0,199.08333333333334,False,True,not a confirmed keeper or college-rights hold
Travis Kelce,TE,13.0,129.94,True,True,not a confirmed keeper or college-rights hold
Mike Washington Jr.,RB,12.0,80.65,True,True,not a confirmed keeper or college-rights hold
Jajuan Jennings,WR,11.0,145.99444444444444,False,True,not a confirmed keeper or college-rights hold
Tyrone Tracy Jr,RB,11.0,72.35,True,True,not a confirmed keeper or college-rights hold
