fp_overall_rank,player,nfl_team,position,position_rank,fp_tier,bye_week,is_true_rookie,notes
338,Eli Raridon,NE,TE,47,13,11,,
339,Konata Mumpfield,LAR,WR,117,13,11,,
340,Olamide Zaccheaus,ATL,WR,118,13,11,,
341,Jalen Royals,KC,WR,119,13,5,,
342,Kendrick Bourne,ARI,WR,120,13,14,,
343,Luke McCaffrey,WAS,WR,121,13,7,,
344,Bam Knight,ARI,RB,99,13,14,,
346,Joe Mixon,FA,RB,100,13,-,,
348,Dawson Knox,BUF,TE,48,14,7,,
349,Brenen Thompson,LAC,WR,123,14,7,,
350,Max Klare,LAR,TE,49,14,11,,
351,Joshua Palmer,BUF,WR,124,14,7,,
352,Noah Gray,KC,TE,50,14,5,,
353,Mac Jones,SF,QB,38,14,8,,
354,Chris Brazzell II,CAR,WR,125,14,5,,
356,Treylon Burks,WAS,WR,126,14,7,,
357,Ja'Tavion Sanders,CAR,TE,51,14,5,,
360,Eli Heidenreich,PIT,RB,102,14,9,,
363,Malik Benson,LV,WR,127,14,13,,
364,Justin Fields,KC,QB,39,14,5,,
365,Jawhar Jordan,HOU,RB,103,14,8,,
366,Justin Joly,DEN,TE,52,14,10,,
367,Roman Wilson,PIT,WR,128,14,9,,
369,Ty Simpson,LAR,QB,40,14,11,,
372,Savion Williams,GB,WR,129,14,11,,
375,Kalif Raymond,CHI,WR,130,14,10,,
376,KaVontae Turpin,DAL,WR,131,14,14,,
377,Kevin Coleman Jr.,MIA,WR,132,14,6,,
378,Raheim Sanders,CLE,RB,105,14,11,,
380,Dont'e Thornton Jr.,LV,WR,133,14,13,,
381,Zavion Thomas,CHI,WR,134,14,10,,
382,Colbie Young,CIN,WR,135,14,6,,
383,Noah Fant,NO,TE,53,14,8,,
384,Kyle Juszczyk,SF,RB,106,14,8,,
385,Anthony Richardson Sr.,IND,QB,41,14,13,,
386,Joe Flacco,CIN,QB,42,14,6,,
387,Tutu Atwell,LAR,WR,136,14,11,,
389,John Metchie III,CAR,WR,137,14,5,,
390,Nick Westbrook-Ikhine,IND,WR,138,14,13,,
391,Phil Mafah,DAL,RB,107,14,14,,
392,J'Mari Taylor,JAC,RB,108,14,7,,
393,Demarcus Robinson,SF,WR,139,14,8,,
394,CJ Daniels,LAR,WR,140,14,11,,
396,Jaylin Lane,WAS,WR,141,14,7,,
397,Devontez Walker,BAL,WR,142,14,13,,
398,Roschon Johnson,CHI,RB,109,14,10,,
400,Luke Musgrave,GB,TE,54,14,11,,
402,Ashton Dulin,IND,WR,143,14,13,,
406,Jameis Winston,NYG,QB,43,14,8,,
407,Tommy Tremble,CAR,TE,55,14,5,,
410,Marcus Mariota,WAS,QB,44,14,7,,
412,Jam Miller,NE,RB,110,14,11,,
413,Jordan Whittington,LAR,WR,144,14,11,,
414,Barion Brown,NO,WR,145,14,8,,
415,Rasheen Ali,BAL,RB,111,14,13,,
416,Sione Vaki,DET,RB,112,14,6,,
417,Cade Klubnik,NYJ,QB,45,15,13,,
419,Ben Sinnott,WAS,TE,56,15,7,,
420,Joe Milton III,DAL,QB,46,15,14,,
421,John Bates,WAS,TE,57,15,7,,
422,Elijah Higgins,ARI,TE,58,15,14,,
423,Austin Hooper,ATL,TE,59,15,11,,
424,Isaiah Williams,NYJ,WR,146,15,13,,
425,Mitchell Evans,CAR,TE,60,15,5,,
426,Daniel Bellinger,TEN,TE,61,15,9,,
428,Dyami Brown,WAS,WR,147,15,7,,
429,Greg Dortch,DET,WR,148,15,6,,
430,Tyler Goodson,ATL,RB,113,15,11,,
431,Tommy Myers,FA,TE,62,15,-,,
432,Odell Beckham Jr.,NYG,WR,149,15,8,,
433,Hunter Luepke,DAL,RB,114,15,14,,
434,Dameon Pierce,PHI,RB,115,15,10,,
436,Deion Burks,IND,WR,150,15,13,,
437,Terrell Jennings,FA,RB,117,15,-,,
442,Tai Felton,MIN,WR,152,15,6,,
443,Marlin Klein,HOU,TE,63,15,8,,
445,Zavier Scott,MIN,RB,118,15,6,,
446,Matt Hibner,BAL,TE,65,15,13,,
447,Isaiah Williams,FA,WR,153,15,-,,
448,Alec Ingold,LAC,RB,119,15,7,,
449,Jeremy McNichols,WAS,RB,120,15,7,,
450,Reggie Gilliam,NE,RB,121,15,11,,
451,Robert Henry Jr.,WAS,RB,122,15,7,,
452,Jonnu Smith,GB,TE,66,15,11,,
453,Ronnie Rivers,LAR,RB,123,15,11,,
454,Josh Williams,TB,RB,124,15,10,,
455,Dylan Laube,LV,RB,125,15,13,,
457,Jahdae Walker,CHI,WR,154,15,10,,
458,Roman Hemby,LV,RB,126,15,13,,
459,Mitch Tinsley,CIN,WR,155,15,6,,
460,Tyler Badie,DEN,RB,127,15,10,,
461,Patrick Ricard,NYG,RB,128,15,8,,
462,Elijah Moore,PHI,WR,156,15,10,,
463,Will Kacmarek,MIA,TE,67,15,6,,
464,Damien Martinez,GB,RB,129,15,11,,
465,Riley Leonard,IND,QB,47,15,13,,
466,Khalil Herbert,SF,RB,130,15,8,,
467,DeAndre Hopkins,BAL,WR,157,15,13,,
468,Josh Oliver,MIN,TE,68,15,6,,
469,Max Bredeson,MIN,RB,131,15,6,,
470,Tanner Koziol,JAC,TE,69,15,7,,
471,Tyler Lockett,LV,WR,158,15,13,,
472,Adam Prentice,DEN,RB,132,15,10,,
473,Jordan Watkins,SF,WR,159,15,8,,
474,Antonio Gibson,FA,RB,133,15,-,,
475,Xavier Smith,LAR,WR,160,15,11,,
476,Jacob Cowing,SF,WR,161,15,8,,
477,Quinn Ewers,MIA,QB,48,15,6,,
478,British Brooks,HOU,RB,134,15,8,,
479,Cade Stover,HOU,TE,70,15,8,,
480,Jimmy Horn Jr.,CAR,WR,162,15,5,,
481,Tim Patrick,NYJ,WR,163,15,13,,
482,Lew Nichols III,PIT,RB,135,15,9,,
483,Drew Allar,PIT,QB,49,15,9,,
484,Marquez Valdes-Scantling,DAL,WR,164,15,14,,
485,Jacob Saylors,DET,RB,136,15,6,,
486,Chris Blair,ATL,WR,165,16,11,,
487,Jackson Hawes,BUF,TE,71,16,7,,
488,Tyrod Taylor,GB,QB,50,16,11,,
489,Moliki Matavao,NO,TE,72,16,8,,
490,Jake Browning,TB,QB,51,16,10,,
491,Michael Woods II,DEN,WR,166,16,10,,
492,Jalen Reagor,MIA,WR,167,16,6,,
493,Xavier Restrepo,TEN,WR,168,16,9,,
494,Frank Gore Jr.,BUF,RB,137,16,7,,
495,Drew Sample,CIN,TE,73,16,6,,
496,Adam Trautman,DEN,TE,74,16,10,,
498,Kene Nwangwu,NYJ,RB,138,16,13,,
499,Reggie Virgil,ARI,WR,169,16,14,,
500,Sam Roush,CHI,TE,75,16,10,,
501,Gardner Minshew II,ARI,QB,52,16,14,,
502,Noah Whittington,HOU,RB,139,16,8,,
503,Cash Jones,ATL,RB,140,16,11,,
504,Michael Burton,CLE,RB,141,16,11,,
505,Durham Smythe,BAL,TE,76,16,13,,
506,Tyson Bagent,CHI,QB,53,16,10,,
507,Nate Boerkircher,JAC,TE,77,16,7,,
508,Jeremy Ruckert,NYJ,TE,78,16,13,,
509,KeAndre Lambert-Smith,LAC,WR,170,16,7,,
510,Tanner Hudson,CIN,TE,79,16,6,,
511,Tyler Conklin,DET,TE,80,16,6,,
512,Luke Schoonmaker,DAL,TE,81,16,14,,
513,Jaret Patterson,LAC,RB,142,16,7,,
514,Josh Cameron,JAC,WR,171,16,7,,
515,Velus Jones Jr.,SEA,WR,172,16,11,,
516,Jaydn Ott,KC,RB,143,16,5,,
517,Trey Lance,LAC,QB,54,16,7,,
518,Lil'Jordan Humphrey,DEN,WR,173,16,10,,
