player,position,nfl_team,projected_points,pass_yd,pass_td,interception,rush_yd,rush_td,reception,rec_yd,rec_td,fumble_lost,two_pt
Justin Herbert,QB,LAC,263.56,3599.0,24.6,10.5,332.0,2.0,,,,2.5,1.0
Jonathon Brooks,RB,CAR,148.6,,,,732.0,5.1,30.4,236.0,1.2,0.9,0.3
DK Metcalf,WR,PIT,148.53,,,,3.3,0.0,59.2,832.0,5.9,0.1,0.1
Harold Fannin Jr.,TE,CLE,141.21,,,,24.6,0.2,71.9,736.0,4.7,0.2,0.1
Trevor Lawrence,QB,JAX,272.04,3696.0,25.2,11.1,298.0,3.1,,,,2.4,1.0
Dak Prescott,QB,DAL,278.54,4081.0,28.5,10.7,155.0,1.4,,,,2.2,1.6
Kyle Pitts Sr.,TE,ATL,140.7,,,,,,70.4,775.0,4.7,0.2,0.1
Tony Pollard,RB,TEN,143.2,,,,788.0,4.8,27.8,185.0,0.8,1.0,0.2
Rico Dowdle,RB,PIT,157.15,,,,764.0,5.8,32.3,240.0,1.2,1.0,0.3
J.K. Dobbins,RB,DEN,134.15,,,,747.0,5.7,19.3,114.0,0.7,0.3,0.3
