player,position,nfl_team,ecr,games,vendor_weekly_proj,vendor_season_points,scored_points_league_rules,pass_yd,pass_td,interception,rush_yd,rush_td,reception,rec_yd,rec_td,fumble_lost,two_pt
Quinshon Judkins,RB,CLE,RB23,14.0,10.95,156.8,156.8,0.0,0.0,0.0,827.0,7.0,26.0,171.0,0.0,0.0,1.0
David Montgomery,RB,HOU,RB20,17.0,11.74,159.92,154.92,3.0,1.0,0.0,716.0,8.0,24.0,192.0,0.0,1.0,1.0
Jadarian Price,RB,SEA,RB28,,10.31,0.0,0.0,,,,,,,,,,
Mike Evans,WR,SF,WR25,8.0,9.92,69.8,69.8,0.0,0.0,0.0,0.0,0.0,30.0,368.0,3.0,0.0,0.0
Drake Maye,QB,NE,QB8,17.0,17.23,364.46,351.46,4394.0,31.0,8.0,450.0,4.0,1.0,2.0,0.0,3.0,2.0
Jayden Daniels,QB,WAS,QB7,7.0,17.58,117.28,114.28,1262.0,8.0,3.0,278.0,2.0,0.0,0.0,0.0,2.0,1.0
Joe Burrow,QB,CIN,QB1,8.0,18.97,139.46,134.46,1809.0,17.0,5.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
TreVeyon Henderson,RB,NE,RB30,17.0,8.83,188.7,188.7,0.0,0.0,0.0,911.0,9.0,35.0,221.0,1.0,1.0,0.0
Jalen Hurts,QB,PHI,QB4,16.0,20.27,305.06,299.06,3224.0,25.0,6.0,421.0,8.0,0.0,0.0,0.0,4.0,0.0
Tucker Kraft,TE,GB,TE6,8.0,8.55,101.2,101.2,0.0,0.0,0.0,3.0,0.0,32.0,489.0,6.0,0.0,0.0
Rhamondre Stevenson,RB,NE,RB27,14.0,9.37,162.8,162.8,0.0,0.0,0.0,603.0,7.0,32.0,345.0,2.0,3.0,2.0
Marvin Harrison Jr.,WR,ARI,WR31,12.0,8.72,107.3,107.3,0.0,0.0,0.0,0.0,0.0,41.0,608.0,4.0,0.0,1.0
Jaylen Warren,RB,PIT,RB24,16.0,11.1,197.1,197.1,0.0,0.0,0.0,958.0,6.0,40.0,333.0,2.0,0.0,0.0
Sam LaPorta,TE,DET,TE7,9.0,8.91,86.9,86.9,0.0,0.0,0.0,0.0,0.0,40.0,489.0,3.0,0.0,0.0
Caleb Williams,QB,CHI,QB10,17.0,17.74,324.68,317.68,3942.0,27.0,7.0,388.0,3.0,2.0,22.0,1.0,1.0,1.0
Brian Thomas Jr.,WR,JAX,WR36,14.0,8.3,114.8,114.8,0.0,0.0,0.0,21.0,1.0,48.0,707.0,2.0,0.0,0.0
Carnell Tate,WR,TEN,WR33,,9.52,0.0,0.0,,,,,,,,,,
Justin Herbert,QB,LAC,QB5,16.0,18.45,304.88,286.88,3727.0,26.0,13.0,498.0,2.0,0.0,0.0,0.0,2.0,1.0
Jonathon Brooks,RB,CAR,RB35,,8.75,0.0,0.0,,,,,,,,,,
DK Metcalf,WR,PIT,WR30,15.0,9.89,157.7,157.7,0.0,0.0,0.0,12.0,1.0,59.0,850.0,6.0,0.0,0.0
Harold Fannin Jr.,TE,CLE,TE8,16.0,8.68,150.4,150.4,0.0,0.0,0.0,13.0,1.0,72.0,731.0,6.0,1.0,0.0
Trevor Lawrence,QB,JAX,QB9,17.0,16.99,350.18,338.18,4007.0,29.0,12.0,359.0,9.0,0.0,0.0,0.0,3.0,1.0
Dak Prescott,QB,DAL,QB6,17.0,17.83,338.78,313.78,4552.0,30.0,10.0,177.0,2.0,0.0,0.0,0.0,2.0,3.0
Kyle Pitts Sr.,TE,ATL,TE5,17.0,8.51,171.8,166.8,0.0,0.0,0.0,0.0,0.0,88.0,928.0,5.0,0.0,0.0
Tony Pollard,RB,TEN,RB26,17.0,9.54,174.3,169.3,0.0,0.0,0.0,1082.0,5.0,33.0,206.0,0.0,3.0,0.0
Rico Dowdle,RB,PIT,RB29,17.0,10.98,211.8,196.8,0.0,0.0,0.0,1076.0,6.0,39.0,297.0,1.0,1.0,0.0
J.K. Dobbins,RB,DEN,RB31,10.0,7.73,110.4,110.4,0.0,0.0,0.0,772.0,4.0,11.0,37.0,0.0,0.0,0.0
Chris Godwin Jr.,WR,TB,WR37,9.0,8.26,66.5,66.5,0.0,0.0,0.0,0.0,0.0,33.0,360.0,2.0,0.0,1.0
Michael Wilson,WR,ARI,WR39,17.0,8.49,186.6,181.6,0.0,0.0,0.0,0.0,0.0,78.0,1006.0,7.0,0.0,0.0
Josh Downs,WR,IND,WR35,16.0,9.01,107.4,107.4,0.0,0.0,0.0,-2.0,0.0,58.0,566.0,4.0,1.0,0.0
George Kittle,TE,SF,TE37,11.0,5.29,133.0,133.0,0.0,0.0,0.0,-3.0,0.0,57.0,628.0,7.0,0.0,0.0
Jacory Croskey-Merritt,RB,WAS,RB37,17.0,7.66,135.8,135.8,0.0,0.0,0.0,805.0,8.0,9.0,68.0,0.0,2.0,0.0
Stefon Diggs,WR,WAS,WR82,17.0,8.0,167.8,167.8,0.0,0.0,0.0,0.0,0.0,85.0,1013.0,4.0,0.0,0.0
Blake Corum,RB,LAR,RB38,17.0,8.54,118.2,118.2,0.0,0.0,0.0,746.0,6.0,8.0,36.0,0.0,0.0,0.0
De'Zhaun Stribling,WR,SF,WR60,,6.23,0.0,0.0,,,,,,,,,,
Chuba Hubbard,RB,CAR,RB32,15.0,9.24,110.4,110.4,0.0,0.0,0.0,511.0,1.0,30.0,223.0,3.0,1.0,0.0
Quentin Johnston,WR,LAC,WR38,14.0,8.89,145.7,145.7,0.0,0.0,0.0,7.0,0.0,51.0,735.0,8.0,1.0,0.0
Jordan Addison,WR,MIN,WR43,14.0,8.51,114.1,114.1,0.0,0.0,0.0,81.0,1.0,42.0,610.0,3.0,0.0,0.0
Jayden Reed,WR,GB,WR42,7.0,9.2,39.0,39.0,0.0,0.0,0.0,28.0,0.0,19.0,207.0,1.0,0.0,0.0
Brock Purdy,QB,SF,QB14,9.0,16.83,187.38,177.38,2167.0,20.0,10.0,147.0,3.0,0.0,0.0,0.0,2.0,1.0
Alec Pierce,WR,IND,WR98,15.0,8.7,159.8,159.8,0.0,0.0,0.0,0.0,0.0,47.0,1003.0,6.0,0.0,0.0
Courtland Sutton,WR,DEN,WR32,17.0,8.78,182.7,182.7,0.0,0.0,0.0,0.0,0.0,74.0,1017.0,7.0,0.0,1.0
KC Concepcion,WR,CLE,WR49,,7.28,0.0,0.0,,,,,,,,,,
Bo Nix,QB,DEN,QB18,17.0,16.65,320.84,304.84,3931.0,25.0,11.0,356.0,5.0,0.0,0.0,0.0,2.0,4.0
Jaxson Dart,QB,NYG,QB11,14.0,19.16,246.58,241.58,2272.0,15.0,5.0,487.0,9.0,0.0,0.0,0.0,2.0,1.0
Jordan Mason,RB,MIN,RB40,16.0,8.08,121.9,121.9,0.0,0.0,0.0,758.0,6.0,14.0,51.0,0.0,1.0,0.0
Matthew Golden,WR,GB,WR52,14.0,8.02,55.5,55.5,0.0,0.0,0.0,49.0,0.0,29.0,361.0,0.0,0.0,0.0
Michael Pittman Jr.,WR,PIT,WR40,17.0,8.93,162.4,162.4,0.0,0.0,0.0,0.0,0.0,80.0,784.0,7.0,0.0,1.0
Makai Lemon,WR,PHI,WR51,,6.38,0.0,0.0,,,,,,,,,,
Dalton Kincaid,TE,BUF,TE14,12.0,6.95,106.6,106.6,0.0,0.0,0.0,0.0,0.0,39.0,571.0,5.0,0.0,0.0
Kyle Monangai,RB,CHI,RB34,17.0,8.59,142.7,137.7,0.0,0.0,0.0,783.0,5.0,18.0,164.0,0.0,0.0,2.0
RJ Harvey,RB,DEN,RB41,17.0,8.08,183.1,183.1,0.0,0.0,0.0,540.0,7.0,47.0,356.0,5.0,1.0,0.0
Wan'Dale Robinson,WR,TEN,WR41,16.0,7.95,176.9,171.9,0.0,0.0,0.0,5.0,0.0,92.0,1014.0,4.0,0.0,0.0
Chris Rodriguez Jr.,RB,JAX,RB42,13.0,6.13,90.5,90.5,0.0,0.0,0.0,500.0,6.0,3.0,30.0,0.0,0.0,0.0
Matthew Stafford,QB,LAR,QB13,17.0,16.94,383.38,350.38,4707.0,46.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
Jalen Coker,WR,CAR,WR45,11.0,8.48,73.9,73.9,0.0,0.0,0.0,0.0,0.0,33.0,394.0,3.0,1.0,1.0
Kyler Murray,QB,MIN,QB16,5.0,16.57,80.78,77.78,962.0,6.0,3.0,173.0,1.0,0.0,0.0,0.0,1.0,0.0
Kenny Gainwell,RB,TB,RB33,17.0,8.56,184.8,184.8,0.0,0.0,0.0,537.0,5.0,73.0,486.0,3.0,1.0,0.0
Rachaad White,RB,WAS,RB36,17.0,7.83,123.0,123.0,0.0,0.0,0.0,572.0,4.0,40.0,218.0,0.0,0.0,0.0
Dallas Goedert,TE,PHI,TE9,15.0,8.23,155.1,155.1,0.0,0.0,0.0,0.0,0.0,60.0,591.0,11.0,0.0,0.0
Jared Goff,QB,DET,QB12,17.0,16.76,310.06,297.06,4564.0,34.0,8.0,45.0,0.0,0.0,0.0,0.0,5.0,0.0
Patrick Mahomes,QB,KC,QB17,14.0,16.25,301.18,285.18,3587.0,22.0,11.0,422.0,5.0,1.0,-10.0,0.0,0.0,2.0
Travis Kelce,TE,KC,TE10,17.0,8.08,155.2,155.2,0.0,0.0,0.0,1.0,0.0,76.0,851.0,5.0,0.0,1.0
Isaiah Likely,TE,NYG,TE12,14.0,7.54,48.2,48.2,0.0,0.0,0.0,0.0,0.0,27.0,307.0,1.0,1.0,0.0
Romeo Doubs,WR,NE,WR47,16.0,7.51,137.9,137.9,0.0,0.0,0.0,0.0,0.0,55.0,724.0,6.0,0.0,1.0
Aaron Jones Sr.,RB,MIN,RB39,12.0,8.0,104.7,104.7,0.0,0.0,0.0,548.0,2.0,28.0,199.0,1.0,1.0,0.0
Jordan Love,QB,GB,QB21,15.0,16.14,246.14,235.14,3381.0,23.0,6.0,199.0,0.0,0.0,0.0,0.0,2.0,2.0
Jakobi Meyers,WR,JAX,WR44,16.0,8.19,138.3,138.3,0.0,0.0,0.0,13.0,0.0,75.0,835.0,3.0,1.0,0.0
Jordyn Tyson,WR,NO,WR106,,1.79,0.0,0.0,,,,,,,,,,
Keaton Mitchell,RB,LAC,RB45,13.0,6.12,50.9,50.9,0.0,0.0,0.0,341.0,1.0,9.0,63.0,0.0,0.0,0.0
Mike Washington Jr.,RB,LV,RB64,,5.04,0.0,0.0,,,,,,,,,,
MarShawn Lloyd,RB,GB,RB53,,4.61,0.0,0.0,,,,,,,,,,
Xavier Worthy,WR,KC,WR48,14.0,7.55,88.9,88.9,0.0,0.0,0.0,87.0,0.0,42.0,532.0,1.0,0.0,0.0
Woody Marks,RB,HOU,RB48,16.0,6.75,139.1,133.1,0.0,0.0,0.0,703.0,2.0,24.0,208.0,3.0,0.0,0.0
Malik Willis,QB,MIA,QB19,4.0,16.07,51.18,51.18,422.0,3.0,0.0,123.0,2.0,0.0,0.0,0.0,1.0,0.0
Rashid Shaheed,WR,SEA,WR50,18.0,6.86,127.1,115.1,0.0,0.0,0.0,69.0,0.0,59.0,687.0,2.0,1.0,0.0
Mark Andrews,TE,BAL,TE15,17.0,8.35,107.0,107.0,0.0,0.0,0.0,48.0,1.0,48.0,422.0,5.0,0.0,0.0
Baker Mayfield,QB,TB,QB15,17.0,16.51,287.92,271.92,3693.0,26.0,11.0,382.0,1.0,0.0,0.0,0.0,3.0,2.0
Tyler Shough,QB,NO,QB20,11.0,16.03,163.96,157.96,2384.0,10.0,6.0,186.0,3.0,0.0,0.0,0.0,2.0,1.0
