player,position,nfl_team,ecr,games,vendor_weekly_proj,vendor_season_points,scored_points_league_rules,pass_yd,pass_td,interception,rush_yd,rush_td,reception,rec_yd,rec_td,fumble_lost,two_pt
Tyquan Thornton,WR,KC,WR77,14.0,3.69,71.3,71.3,0.0,0.0,0.0,0.0,0.0,19.0,438.0,3.0,0.0,0.0
Antonio Williams,WR,WAS,WR91,,2.86,0.0,0.0,,,,,,,,,,
Jahan Dotson,WR,ATL,WR116,17.0,3.96,41.2,41.2,0.0,0.0,0.0,0.0,0.0,18.0,262.0,1.0,0.0,0.0
Malachi Fields,WR,NYG,WR87,,4.53,0.0,0.0,,,,,,,,,,
Jack Bech,WR,LV,WR89,16.0,3.53,32.4,32.4,0.0,0.0,0.0,0.0,0.0,20.0,224.0,0.0,0.0,0.0
Cooper Kupp,WR,SEA,WR61,16.0,5.5,93.8,92.8,0.0,0.0,1.0,0.0,0.0,47.0,593.0,2.0,1.0,1.0
Sean Tucker,RB,TB,RB61,17.0,2.97,87.4,87.4,0.0,0.0,0.0,320.0,7.0,8.0,34.0,1.0,0.0,0.0
Ted Hurst III,WR,TB,WR92,,2.92,0.0,0.0,,,,,,,,,,
Malik Davis,RB,DAL,RB78,10.0,1.8,39.6,39.6,0.0,0.0,0.0,250.0,2.0,2.0,16.0,0.0,0.0,0.0
Fernando Mendoza,QB,LV,QB35,,4.44,0.0,0.0,,,,,,,,,,
Darnell Mooney,WR,NYG,WR65,15.0,4.19,66.3,66.3,0.0,0.0,0.0,0.0,0.0,32.0,443.0,1.0,0.0,0.0
Isaac TeSlaa,WR,DET,WR73,17.0,3.5,67.9,67.9,0.0,0.0,0.0,0.0,0.0,16.0,239.0,6.0,0.0,0.0
Colby Parkinson,TE,LAR,TE31,15.0,3.98,108.3,108.3,0.0,0.0,0.0,0.0,0.0,43.0,408.0,8.0,1.0,0.0
Darren Waller,TE,CAR,TE41,9.0,5.74,76.7,76.7,0.0,0.0,0.0,4.0,0.0,24.0,283.0,6.0,0.0,0.0
Kimani Vidal,RB,LAC,RB60,13.0,1.99,109.9,109.9,0.0,0.0,0.0,643.0,3.0,16.0,136.0,1.0,0.0,0.0
Geno Smith,QB,NYJ,QB30,15.0,13.73,195.9,173.9,3025.0,19.0,17.0,109.0,0.0,0.0,0.0,0.0,1.0,1.0
Aaron Rodgers,QB,PIT,QB26,16.0,14.66,233.58,226.58,3322.0,24.0,7.0,61.0,1.0,1.0,-9.0,0.0,1.0,1.0
Seth McGowan,RB,IND,RB79,,1.43,0.0,0.0,,,,,,,,,,
Jaylen Wright,RB,MIA,RB66,10.0,2.54,45.7,45.7,0.0,0.0,0.0,288.0,2.0,5.0,44.0,0.0,1.0,0.0
Samaje Perine,RB,CIN,RB63,15.0,4.02,69.4,69.4,0.0,0.0,0.0,382.0,3.0,17.0,87.0,0.0,2.0,0.0
Michael Penix Jr.,QB,ATL,QB34,9.0,1.31,123.28,120.28,1982.0,9.0,3.0,70.0,1.0,0.0,0.0,0.0,2.0,1.0
Tank Dell,WR,HOU,WR83,,3.67,0.0,0.0,,,,,,,,,,
Calvin Ridley,WR,TEN,WR66,7.0,5.84,38.8,38.8,0.0,0.0,0.0,0.0,0.0,17.0,303.0,0.0,0.0,0.0
Justice Hill,RB,BAL,RB57,10.0,4.62,54.7,54.7,0.0,0.0,0.0,93.0,2.0,21.0,169.0,1.0,0.0,0.0
Isaiah Davis,RB,NYJ,RB70,16.0,3.4,60.7,60.7,0.0,0.0,0.0,236.0,1.0,21.0,186.0,0.0,0.0,1.0
Charlie Kolar,TE,LAC,TE38,17.0,2.79,31.2,31.2,0.0,0.0,0.0,0.0,0.0,10.0,142.0,2.0,0.0,0.0
Germie Bernard,WR,PIT,WR74,,4.55,0.0,0.0,,,,,,,,,,
Cade Otton,TE,TB,TE19,16.0,5.37,92.7,92.7,0.0,0.0,0.0,0.0,0.0,59.0,572.0,1.0,0.0,0.0
Xavier Legette,WR,CAR,WR88,15.0,3.46,71.8,71.8,0.0,0.0,0.0,0.0,0.0,35.0,363.0,3.0,0.0,0.0
Tahj Brooks,RB,CIN,RB129,16.0,1.65,5.9,5.9,0.0,0.0,0.0,45.0,0.0,1.0,9.0,0.0,0.0,0.0
Keon Coleman,WR,BUF,WR81,13.0,3.36,83.4,83.4,0.0,0.0,0.0,0.0,0.0,38.0,404.0,4.0,1.0,1.0
Eli Raridon,TE,NE,TE47,,1.84,0.0,0.0,,,,,,,,,,
Darius Slayton,WR,NYG,WR71,14.0,3.64,80.3,80.3,0.0,0.0,0.0,0.0,0.0,37.0,538.0,1.0,1.0,2.0
Emanuel Wilson,RB,SEA,RB51,17.0,1.97,87.0,87.0,0.0,0.0,0.0,496.0,3.0,15.0,99.0,0.0,0.0,1.0
Treylon Burks,WR,WAS,WR111,8.0,1.93,24.0,24.0,0.0,0.0,0.0,0.0,0.0,10.0,130.0,1.0,0.0,0.0
Ollie Gordon II,RB,MIA,RB71,17.0,2.17,50.6,50.6,0.0,0.0,0.0,199.0,3.0,7.0,32.0,1.0,0.0,0.0
Jordan James,RB,SF,RB76,3.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendre Miller,RB,NO,RB85,7.0,2.57,30.8,30.8,0.0,0.0,0.0,193.0,1.0,5.0,30.0,0.0,0.0,0.0
Chris Brooks,RB,GB,RB68,17.0,1.6,26.2,26.2,0.0,0.0,0.0,106.0,0.0,13.0,91.0,0.0,0.0,0.0
Pat Freiermuth,TE,PIT,TE25,17.0,6.0,93.1,93.1,0.0,0.0,0.0,0.0,0.0,41.0,486.0,4.0,0.0,0.0
Evan Engram,TE,DEN,TE29,16.0,3.69,77.8,77.8,0.0,0.0,0.0,7.0,0.0,50.0,461.0,1.0,0.0,0.0
Bryce Lance,WR,NO,WR119,,2.18,0.0,0.0,,,,,,,,,,
Xavier Hutchinson,WR,HOU,WR131,17.0,2.87,80.5,80.5,0.0,0.0,0.0,22.0,0.0,35.0,428.0,3.0,0.0,0.0
Joshua Palmer,WR,BUF,WR113,12.0,2.05,41.3,41.3,0.0,0.0,0.0,0.0,0.0,22.0,303.0,0.0,0.0,0.0
DeMario Douglas,WR,NE,WR114,17.0,3.76,80.3,80.3,0.0,0.0,0.0,21.0,0.0,31.0,447.0,3.0,0.0,0.0
Tua Tagovailoa,QB,ATL,QB31,14.0,13.25,175.7,160.7,2660.0,20.0,15.0,43.0,0.0,0.0,0.0,0.0,1.0,1.0
Malik Benson,WR,LV,WR127,,1.32,0.0,0.0,,,,,,,,,,
Troy Franklin,WR,DEN,WR72,17.0,2.4,144.6,144.6,0.0,0.0,0.0,12.0,0.0,65.0,709.0,6.0,1.0,3.0
Tory Horton,WR,SEA,WR85,8.0,2.88,58.6,52.6,0.0,0.0,0.0,0.0,0.0,13.0,161.0,5.0,0.0,0.0
Jake Tonges,TE,SF,TE34,17.0,3.44,76.3,76.3,0.0,0.0,0.0,0.0,0.0,34.0,293.0,5.0,0.0,0.0
Michael Mayer,TE,LV,TE32,13.0,3.52,56.3,56.3,0.0,0.0,0.0,0.0,0.0,35.0,328.0,1.0,0.0,0.0
Elijah Sarratt,WR,BAL,WR104,,1.54,0.0,0.0,,,,,,,,,,
Shedeur Sanders,QB,CLE,QB33,8.0,1.48,99.9,84.9,1400.0,7.0,10.0,169.0,1.0,0.0,0.0,0.0,1.0,0.0
Deshaun Watson,QB,CLE,QB32,,12.58,0.0,0.0,,,,,,,,,,
David Njoku,TE,LAC,TE30,12.0,4.12,69.8,69.8,0.0,0.0,0.0,0.0,0.0,33.0,293.0,4.0,0.0,0.0
DJ Giddens,RB,IND,RB81,9.0,1.68,9.6,9.6,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
Marlin Klein,TE,HOU,TE70,,1.55,0.0,0.0,,,,,,,,,,
Kirk Cousins,QB,LV,QB28,10.0,12.21,113.54,103.54,1721.0,10.0,5.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0
Ashton Dulin,WR,IND,WR100,12.0,1.61,17.5,17.5,0.0,0.0,0.0,44.0,0.0,5.0,106.0,0.0,0.0,0.0
Skyler Bell,WR,BUF,WR108,,1.19,0.0,0.0,,,,,,,,,,
Darnell Washington,TE,PIT,TE33,16.0,3.5,57.9,57.9,0.0,0.0,0.0,0.0,0.0,31.0,364.0,1.0,1.0,1.0
Mason Taylor,TE,NYJ,TE44,13.0,3.84,66.9,66.9,0.0,0.0,0.0,0.0,0.0,44.0,369.0,1.0,0.0,1.0
Eli Stowers,TE,PHI,TE40,,1.95,0.0,0.0,,,,,,,,,,
Elijah Arroyo,TE,SEA,TE43,13.0,2.96,29.4,29.4,0.0,0.0,0.0,0.0,0.0,15.0,179.0,1.0,1.0,0.0
Mike Gesicki,TE,CIN,TE36,13.0,4.55,56.7,56.7,0.0,0.0,0.0,0.0,0.0,28.0,307.0,2.0,0.0,0.0
Erick All Jr.,TE,CIN,TE46,,2.67,0.0,0.0,,,,,,,,,,
Brenen Thompson,WR,LAC,WR126,,1.59,0.0,0.0,,,,,,,,,,
Carson Beck,QB,ARI,QB63,,0.48,0.0,0.0,,,,,,,,,,
Andrei Iosivas,WR,CIN,WR90,17.0,3.9,73.4,73.4,0.0,0.0,0.0,14.0,0.0,33.0,435.0,2.0,0.0,0.0
Devin Neal,RB,NO,RB88,10.0,0.17,51.5,51.5,0.0,0.0,0.0,206.0,2.0,17.0,104.0,0.0,0.0,0.0
Elic Ayomanor,WR,TEN,WR80,16.0,2.09,96.0,96.0,0.0,0.0,0.0,0.0,0.0,41.0,515.0,4.0,0.0,0.0
Oscar Delp,TE,NO,TE57,,1.62,0.0,0.0,,,,,,,,,,
