"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"218",11,"Evan McPherson",CIN,"K10","6","4 out of 5","2 out of 5","2 out of 5 stars","-30","+1.3","56% (9/16)"
"219",11,"Rashod Bateman",BAL,"WR78","13","3 out of 5","4 out of 5","4 out of 5 stars","+57","-2.5","23% (3/13)"
"220",11,"Darnell Mooney",NYG,"WR79","8","3 out of 5","4 out of 5","4 out of 5 stars","+68","-2.9","14% (2/14)"
"221",11,"Detroit Lions",DET,"DST14","6","-","-","5 out of 5 stars","-45","-1.2","31% (5/16)"
"222",11,"Jaydon Blue",DAL,"RB64","14","4 out of 5","4 out of 5","4 out of 5 stars","+5","-3.3","0% (0/4)"
"223",11,"Isaac TeSlaa",DET,"WR80","6","3 out of 5","4 out of 5","4 out of 5 stars","+37","+1.1","43% (7/16)"
"224",11,"Cleveland Browns",CLE,"DST15","11","-","-","5 out of 5 stars","-29","0.0","37% (6/16)"
"225",11,"Harrison Mevis",LAR,"K11","11","4 out of 5","2 out of 5","2 out of 5 stars","-56","+0.6","50% (4/8)"
"226",11,"Troy Franklin",DEN,"WR81","10","1 out of 5","5 out of 5","2 out of 5 stars","+55","+1.0","50% (8/16)"
"227",11,"Andy Borregales",NE,"K12","11","-","-","1 out of 5 stars","-3","+1.3","50% (8/16)"
"228",11,"Chase McLaughlin",TB,"K13","10","4 out of 5","2 out of 5","3 out of 5 stars","-14","+1.4","56% (9/16)"
"229",11,"Pat Freiermuth",PIT,"TE27","9","3 out of 5","3 out of 5","2 out of 5 stars","+9","+0.9","37% (6/16)"
"230",11,"Kaytron Allen",WAS,"RB65","7","2 out of 5","4 out of 5","4 out of 5 stars","+55","-","-"
"231",11,"Ja'Kobi Lane",BAL,"WR82","13","4 out of 5","4 out of 5","4 out of 5 stars","-60","-","-"
"232",11,"Buffalo Bills",BUF,"DST16","7","-","-","3 out of 5 stars","-41","-0.3","25% (4/16)"
"233",11,"Cade Otton",TB,"TE28","10","2 out of 5","4 out of 5","2 out of 5 stars","+3","-1.4","33% (5/15)"
"234",11,"Germie Bernard",PIT,"WR83","9","2 out of 5","4 out of 5","3 out of 5 stars","+41","-","-"
"235",11,"Emanuel Wilson",SEA,"RB66","11","2 out of 5","4 out of 5","4 out of 5 stars","+61","+0.8","37% (6/16)"
"236",11,"Zachariah Branch",ATL,"WR84","11","2 out of 5","4 out of 5","3 out of 5 stars","+22","-","-"
"237",11,"Greg Dulcich",MIA,"TE29","6","4 out of 5","4 out of 5","5 out of 5 stars","-24","+1.9","66% (6/9)"
"238",11,"Justice Hill",BAL,"RB67","13","-","-","3 out of 5 stars","+16","+0.2","40% (4/10)"
"239",11,"Antonio Williams",WAS,"WR85","7","4 out of 5","2 out of 5","2 out of 5 stars","+29","-","-"
"240",11,"George Holani",SEA,"RB68","11","3 out of 5","4 out of 5","4 out of 5 stars","+17","+0.4","22% (2/9)"
"241",11,"Caleb Douglas",MIA,"WR86","6","3 out of 5","4 out of 5","3 out of 5 stars","-32","-","-"
"242",11,"Jaylen Wright",MIA,"RB69","6","-","-","3 out of 5 stars","+5","+2.3","54% (6/11)"
"243",11,"Kaelon Black",SF,"RB70","8","3 out of 5","4 out of 5","2 out of 5 stars","-43","-","-"
"244",11,"Malachi Fields",NYG,"WR87","8","4 out of 5","4 out of 5","4 out of 5 stars","-15","-","-"
"245",11,"Harrison Butker",KC,"K14","5","-","-","5 out of 5 stars","-65","+0.7","50% (8/16)"
"246",11,"Evan Engram",DEN,"TE30","10","-","-","4 out of 5 stars","+108","-1.4","26% (4/15)"
"247",11,"Devaughn Vele",NO,"WR88","8","2 out of 5","4 out of 5","3 out of 5 stars","+3","-","-"
"248",11,"Jack Bech",LV,"WR89","13","3 out of 5","4 out of 5","2 out of 5 stars","+45","-1.1","40% (6/15)"
"249",11,"Keon Coleman",BUF,"WR90","7","2 out of 5","4 out of 5","4 out of 5 stars","+45","-1.5","25% (3/12)"
"250",11,"David Njoku",LAC,"TE31","7","4 out of 5","4 out of 5","4 out of 5 stars","-42","-1.1","33% (4/12)"
"251",11,"Chris Boswell",PIT,"K15","9","4 out of 5","2 out of 5","4 out of 5 stars","-46","+1.3","62% (10/16)"
"252",12,"Chris Bell",MIA,"WR91","6","3 out of 5","4 out of 5","3 out of 5 stars","-7","-","-"
"253",12,"Ted Hurst III",TB,"WR92","10","4 out of 5","4 out of 5","4 out of 5 stars","+31","-","-"
"254",12,"Fernando Mendoza",LV,"QB30","13","4 out of 5","3 out of 5","1 out of 5 stars","-33","-","-"
"255",12,"Chimere Dike",TEN,"WR93","9","1 out of 5","5 out of 5","3 out of 5 stars","+34","+0.3","37% (6/16)"
"256",12,"Ollie Gordon II",MIA,"RB71","6","3 out of 5","4 out of 5","3 out of 5 stars","+138","-0.6","25% (4/16)"
"257",12,"Isaiah Davis",NYJ,"RB72","13","2 out of 5","4 out of 5","3 out of 5 stars","+356","-0.1","37% (6/16)"
"258",12,"Demond Claiborne",MIN,"RB73","6","3 out of 5","4 out of 5","4 out of 5 stars","+47","-","-"
"259",12,"Najee Harris",NYG,"RB74","8","2 out of 5","4 out of 5","4 out of 5 stars","-24","-","-"
"260",12,"Elic Ayomanor",TEN,"WR94","9","1 out of 5","5 out of 5","3 out of 5 stars","+50","-0.7","33% (5/15)"
"261",12,"Ty Johnson",BUF,"RB75","7","-","-","2 out of 5 stars","+223","+0.6","37% (6/16)"
"262",12,"Samaje Perine",CIN,"RB76","6","2 out of 5","5 out of 5","2 out of 5 stars","+111","0.0","42% (6/14)"
"263",12,"Colby Parkinson",LAR,"TE32","11","-","-","4 out of 5 stars","+35","+2.9","64% (9/14)"
"264",12,"Cyrus Allen",KC,"WR95","5","4 out of 5","4 out of 5","2 out of 5 stars","-68","-","-"
"265",12,"LeQuint Allen Jr.",JAC,"RB77","7","2 out of 5","4 out of 5","4 out of 5 stars","+150","-0.4","37% (6/16)"
"266",12,"Jordan James",SF,"RB78","8","2 out of 5","4 out of 5","2 out of 5 stars","-36","-0.8","0% (0/1)"
"267",12,"Tory Horton",SEA,"WR96","11","3 out of 5","4 out of 5","3 out of 5 stars","+28","+1.3","50% (4/8)"
"268",12,"Wil Lutz",DEN,"K16","10","-","-","1 out of 5 stars","-65","+0.1","56% (9/16)"
"269",12,"Tua Tagovailoa",ATL,"QB31","11","2 out of 5","5 out of 5","4 out of 5 stars","+14","-1.9","35% (5/14)"
"270",12,"Tyquan Thornton",KC,"WR97","5","2 out of 5","5 out of 5","2 out of 5 stars","+149","-","-"
"271",12,"Will Reichard",MIN,"K17","6","-","-","2 out of 5 stars","-82","+2.1","68% (11/16)"
"272",12,"Darius Slayton",NYG,"WR98","8","2 out of 5","4 out of 5","4 out of 5 stars","+197","-1.2","38% (5/13)"
"273",12,"Chris Brooks",GB,"RB79","11","2 out of 5","4 out of 5","4 out of 5 stars","+137","-0.6","25% (4/16)"
"274",12,"Elijah Sarratt",BAL,"WR99","13","4 out of 5","4 out of 5","4 out of 5 stars","+55","-","-"
"275",12,"Christian Kirk",SF,"WR100","8","2 out of 5","4 out of 5","2 out of 5 stars","-23","-2.3","25% (3/12)"
"276",12,"Mason Taylor",NYJ,"TE33","13","1 out of 5","4 out of 5","4 out of 5 stars","+6","-0.8","30% (4/13)"
"277",12,"Xavier Legette",CAR,"WR101","5","2 out of 5","4 out of 5","2 out of 5 stars","+187","-0.5","28% (4/14)"
"278",12,"Malik Davis",DAL,"RB80","14","-","-","4 out of 5 stars","+128","+2.0","57% (4/7)"
"279",12,"Michael Penix Jr.",ATL,"QB32","11","2 out of 5","5 out of 5","4 out of 5 stars","+1","-","-"
"280",12,"Marvin Mims Jr.",DEN,"WR102","10","3 out of 5","4 out of 5","2 out of 5 stars","+12","-0.5","42% (6/14)"
"281",12,"San Francisco 49ers",SF,"DST17","8","-","-","3 out of 5 stars","-53","-1.3","43% (7/16)"
"282",12,"Theo Johnson",NYG,"TE34","8","1 out of 5","5 out of 5","3 out of 5 stars","+29","+0.2","46% (7/15)"
"283",12,"Atlanta Falcons",ATL,"DST18","11","-","-","4 out of 5 stars","-51","+0.4","43% (7/16)"
"284",12,"Kirk Cousins",LV,"QB33","13","2 out of 5","4 out of 5","1 out of 5 stars","+23","-0.1","33% (5/15)"
"285",12,"DJ Giddens",IND,"RB81","13","2 out of 5","4 out of 5","4 out of 5 stars","+142","-0.6","28% (2/7)"
"286",12,"Devin Neal",NO,"RB82","8","2 out of 5","4 out of 5","3 out of 5 stars","+44","-","-"
"287",12,"Deshaun Watson",CLE,"QB34","11","1 out of 5","5 out of 5","4 out of 5 stars","+91","-","-"
"288",12,"Seth McGowan",IND,"RB83","13","4 out of 5","4 out of 5","4 out of 5 stars","+258","-","-"
"289",12,"New Orleans Saints",NO,"DST19","8","-","-","5 out of 5 stars","-46","+1.1","50% (8/16)"
"290",12,"Eli Stowers",PHI,"TE35","10","4 out of 5","4 out of 5","4 out of 5 stars","-34","-","-"
"291",12,"Shedeur Sanders",CLE,"QB35","11","3 out of 5","4 out of 5","4 out of 5 stars","-45","+1.6","30% (3/10)"
"292",12,"Kendre Miller",NO,"RB84","8","2 out of 5","4 out of 5","3 out of 5 stars","+32","-","-"
"293",12,"Kyle Williams",NE,"WR103","11","3 out of 5","4 out of 5","2 out of 5 stars","-38","-0.1","31% (5/16)"
"294",12,"Brashard Smith",KC,"RB85","5","-","-","3 out of 5 stars","+39","-0.3","37% (6/16)"
"295",12,"Emari Demercado",KC,"RB86","5","1 out of 5","5 out of 5","3 out of 5 stars","+75","-1.1","27% (3/11)"
"296",12,"Hollywood Brown",PHI,"WR104","10","-","-","4 out of 5 stars","+8","+0.3","60% (9/15)"
"297",12,"Adam Randall",BAL,"RB87","13","4 out of 5","4 out of 5","3 out of 5 stars","+346","-","-"
"298",12,"Mike Gesicki",CIN,"TE36","6","-","-","3 out of 5 stars","+59","-0.6","25% (3/12)"
"299",12,"Devin Singletary",NYG,"RB88","8","1 out of 5","5 out of 5","4 out of 5 stars","-13","+1.2","50% (8/16)"
"300",12,"Mack Hollins",NE,"WR105","11","-","-","2 out of 5 stars","+334","+1.1","60% (9/15)"
"301",13,"Isaiah Bond",CLE,"WR106","11","-","-","3 out of 5 stars","+294","-0.8","33% (5/15)"
"302",13,"Trey Benson",ARI,"RB89","14","1 out of 5","5 out of 5","2 out of 5 stars","+12","-","-"
"303",13,"Skyler Bell",BUF,"WR107","7","-","-","4 out of 5 stars","+39","-","-"
"304",13,"Indianapolis Colts",IND,"DST20","13","-","-","5 out of 5 stars","-35","+0.1","37% (6/16)"
"305",13,"Kaleb Johnson",PIT,"RB90","9","2 out of 5","5 out of 5","2 out of 5 stars","+30","-1.3","21% (3/14)"
"306",13,"Darren Waller",CAR,"TE37","5","-","-","2 out of 5 stars","+99","+1.4","33% (3/9)"
"307",13,"Trevor Etienne",CAR,"RB91","5","-","-","1 out of 5 stars","+318","-0.7","20% (3/15)"
"308",13,"Brandon Aiyuk",SF,"WR108","8","2 out of 5","5 out of 5","2 out of 5 stars","-45","-","-"
"309",13,"Jake Tonges",SF,"TE38","8","-","-","3 out of 5 stars","-12","+1.0","42% (6/14)"
"310",13,"Chicago Bears",CHI,"DST21","10","-","-","2 out of 5 stars","-100","+0.3","43% (7/16)"
"311",13,"Jarquez Hunter",MIA,"RB92","6","-","-","3 out of 5 stars","+75","-0.8","0% (0/4)"
"312",13,"Charlie Smyth",NO,"K18","8","-","-","5 out of 5 stars","+75","+4.2","60% (3/5)"
"313",13,"Andrei Iosivas",CIN,"WR109","6","-","-","4 out of 5 stars","+103","-0.1","37% (6/16)"
"314",13,"Isaac Guerendo",SF,"RB93","8","-","-","2 out of 5 stars","+227","-1.3","0% (0/13)"
"315",13,"Jerome Ford",WAS,"RB94","7","2 out of 5","4 out of 5","4 out of 5 stars","+284","-","-"
"316",13,"Jaleel McLaughlin",DEN,"RB95","10","-","-","2 out of 5 stars","+302","-0.9","14% (1/7)"
"317",13,"DeMario Douglas",NE,"WR110","11","-","-","2 out of 5 stars","+284","-0.8","25% (4/16)"
"318",13,"Audric Estime",NO,"RB96","8","-","-","3 out of 5 stars","+8","+1.0","33% (2/6)"
"319",13,"Tahj Brooks",CIN,"RB97","6","-","-","2 out of 5 stars","+160","-0.8","8% (1/12)"
"320",13,"Darnell Washington",PIT,"TE39","9","-","-","2 out of 5 stars","-33","+0.5","43% (7/16)"
"321",13,"Jahan Dotson",ATL,"WR111","11","-","-","3 out of 5 stars","+206","-0.6","25% (4/16)"
"322",13,"Oscar Delp",NO,"TE40","8","4 out of 5","4 out of 5","2 out of 5 stars","+263","-","-"
"323",13,"Tyreek Hill",FA,"WR112","-","1 out of 5","5 out of 5","-","-86","-","-"
"324",13,"Michael Mayer",LV,"TE41","13","-","-","3 out of 5 stars","+148","-0.5","33% (4/12)"
"325",13,"Will Shipley",PHI,"RB98","10","-","-","4 out of 5 stars","+189","-0.6","14% (2/14)"
"326",13,"Elijah Arroyo",SEA,"TE42","11","-","-","3 out of 5 stars","+11","-","-"
"327",13,"Charlie Kolar",LAC,"TE43","7","-","-","4 out of 5 stars","+76","-","-"
"328",13,"Bryce Lance",NO,"WR113","8","-","-","3 out of 5 stars","+55","-","-"
"329",13,"Jalen Tolbert",MIA,"WR114","6","-","-","3 out of 5 stars","+175","-0.3","36% (4/11)"
"330",13,"Xavier Hutchinson",HOU,"WR115","8","-","-","3 out of 5 stars","+311","+0.4","43% (7/16)"
"331",13,"Dallas Cowboys",DAL,"DST22","14","-","-","1 out of 5 stars","-141","-3.1","25% (4/16)"
"332",13,"Carson Beck",ARI,"QB36","14","-","-","2 out of 5 stars","-4","-","-"
"333",13,"Cole Kmet",CHI,"TE44","10","-","-","2 out of 5 stars","-43","+0.2","46% (7/15)"
"334",13,"Erick All Jr.",CIN,"TE45","6","-","-","3 out of 5 stars","-","-","-"
"335",13,"J.J. McCarthy",MIN,"QB37","6","-","-","5 out of 5 stars","-87","-1.0","55% (5/9)"
"336",13,"Tyler Higbee",LAR,"TE46","11","-","-","4 out of 5 stars","-4","-0.4","40% (4/10)"
"337",13,"Tez Johnson",TB,"WR116","10","-","-","4 out of 5 stars","+211","+0.8","42% (6/14)"
"338",13,"Eli Raridon",NE,"TE47","11","-","-","4 out of 5 stars","0","-","-"
"339",13,"Konata Mumpfield",LAR,"WR117","11","-","-","1 out of 5 stars","+13","-0.6","20% (3/15)"
"340",13,"Olamide Zaccheaus",ATL,"WR118","11","-","-","3 out of 5 stars","+220","-0.6","40% (6/15)"
"341",13,"Jalen Royals",KC,"WR119","5","-","-","2 out of 5 stars","+115","-1.9","0% (0/4)"
"342",13,"Kendrick Bourne",ARI,"WR120","14","-","-","2 out of 5 stars","+295","-0.4","33% (5/15)"
"343",13,"Luke McCaffrey",WAS,"WR121","7","-","-","2 out of 5 stars","-27","+0.3","55% (5/9)"
"344",13,"Bam Knight",ARI,"RB99","14","-","-","2 out of 5 stars","-","-","-"
"345",13,"Cedric Tillman",FA,"WR122","-","-","-","-","-","-2.0","33% (4/12)"
"346",13,"Joe Mixon",FA,"RB100","-","-","-","-","-84","-","-"
"347",13,"Kareem Hunt",FA,"RB101","-","-","-","-","+130","+0.4","37% (6/16)"
"348",14,"Dawson Knox",BUF,"TE48","7","-","-","3 out of 5 stars","-40","+1.4","56% (9/16)"
"349",14,"Brenen Thompson",LAC,"WR123","7","-","-","2 out of 5 stars","+259","-","-"
"350",14,"Max Klare",LAR,"TE49","11","-","-","4 out of 5 stars","+1","-","-"
"351",14,"Joshua Palmer",BUF,"WR124","7","-","-","4 out of 5 stars","-15","-1.7","18% (2/11)"
"352",14,"Noah Gray",KC,"TE50","5","-","-","4 out of 5 stars","+7","-1.2","33% (5/15)"
"353",14,"Mac Jones",SF,"QB38","8","-","-","1 out of 5 stars","-8","+0.7","26% (4/15)"
"354",14,"Chris Brazzell II",CAR,"WR125","5","-","-","2 out of 5 stars","+296","-","-"
"355",14,"Jake Elliott",PHI,"K19","10","-","-","5 out of 5 stars","-116","-0.4","37% (6/16)"
"356",14,"Treylon Burks",WAS,"WR126","7","-","-","2 out of 5 stars","+288","-0.5","50% (3/6)"
"357",14,"Ja'Tavion Sanders",CAR,"TE51","5","-","-","2 out of 5 stars","-16","-1.1","30% (4/13)"
"358",14,"New York Giants",NYG,"DST23","8","-","-","1 out of 5 stars","-143","-1.8","25% (4/16)"
"359",14,"Tyler Bass",BUF,"K20","7","-","-","2 out of 5 stars","-137","-","-"
"360",14,"Eli Heidenreich",PIT,"RB102","9","-","-","2 out of 5 stars","+325","-","-"
"361",14,"Carolina Panthers",CAR,"DST24","5","-","-","3 out of 5 stars","-112","+1.0","43% (7/16)"
"362",14,"Trey Smack",GB,"K21","11","-","-","4 out of 5 stars","-150","-","-"
"363",14,"Malik Benson",LV,"WR127","13","-","-","2 out of 5 stars","+158","-","-"
"364",14,"Justin Fields",KC,"QB39","5","-","-","2 out of 5 stars","-37","-","-"
"365",14,"Jawhar Jordan",HOU,"RB103","8","-","-","4 out of 5 stars","+265","+0.1","50% (1/2)"
"366",14,"Justin Joly",DEN,"TE52","10","-","-","4 out of 5 stars","+84","-","-"
"367",14,"Roman Wilson",PIT,"WR128","9","-","-","3 out of 5 stars","+122","-","-"
"368",14,"Tennessee Titans",TEN,"DST25","9","-","-","2 out of 5 stars","-101","-0.2","37% (6/16)"
"369",14,"Ty Simpson",LAR,"QB40","11","-","-","3 out of 5 stars","-110","-","-"
"370",14,"Tampa Bay Buccaneers",TB,"DST26","10","-","-","4 out of 5 stars","-91","-0.7","25% (4/16)"
"371",14,"Cincinnati Bengals",CIN,"DST27","6","-","-","4 out of 5 stars","-120","-1.5","25% (4/16)"
"372",14,"Savion Williams",GB,"WR129","11","-","-","5 out of 5 stars","+252","-0.5","41% (5/12)"
"373",14,"Michael Carter",TEN,"RB104","9","-","-","3 out of 5 stars","+150","+0.3","50% (5/10)"
"374",14,"Zane Gonzalez",FA,"K22","-","-","-","-","+77","+3.0","75% (6/8)"
"375",14,"Kalif Raymond",CHI,"WR130","10","-","-","3 out of 5 stars","+100","+0.9","50% (7/14)"
"376",14,"KaVontae Turpin",DAL,"WR131","14","-","-","2 out of 5 stars","-23","+0.9","42% (6/14)"
"377",14,"Kevin Coleman Jr.",MIA,"WR132","6","-","-","3 out of 5 stars","+225","-","-"
"378",14,"Raheim Sanders",CLE,"RB105","11","-","-","3 out of 5 stars","+227","0.0","33% (1/3)"
"379",14,"Nick Folk",ATL,"K23","11","-","-","0 out of 5 stars","-114","+1.2","50% (8/16)"
"380",14,"Dont'e Thornton Jr.",LV,"WR133","13","-","-","2 out of 5 stars","+125","-2.9","0% (0/14)"
"381",14,"Zavion Thomas",CHI,"WR134","10","-","-","3 out of 5 stars","-25","-","-"
"382",14,"Colbie Young",CIN,"WR135","6","-","-","4 out of 5 stars","-63","-","-"
"383",14,"Noah Fant",NO,"TE53","8","-","-","2 out of 5 stars","+57","-0.3","28% (4/14)"
"384",14,"Kyle Juszczyk",SF,"RB106","8","-","-","2 out of 5 stars","+1","-","-"
"385",14,"Anthony Richardson Sr.",IND,"QB41","13","-","-","4 out of 5 stars","+3","-0.1","16% (1/6)"
"386",14,"Joe Flacco",CIN,"QB42","6","-","-","3 out of 5 stars","-74","+0.9","33% (5/15)"
"387",14,"Tutu Atwell",LAR,"WR136","11","-","-","1 out of 5 stars","+241","-0.6","22% (2/9)"
"388",14,"Blake Grupe",IND,"K24","13","-","-","4 out of 5 stars","-86","+1.0","40% (6/15)"
"389",14,"John Metchie III",CAR,"WR137","5","-","-","2 out of 5 stars","+227","+0.1","33% (5/15)"
"390",14,"Nick Westbrook-Ikhine",IND,"WR138","13","-","-","4 out of 5 stars","+245","-2.9","0% (0/13)"
"391",14,"Phil Mafah",DAL,"RB107","14","-","-","4 out of 5 stars","-","-","-"
"392",14,"J'Mari Taylor",JAC,"RB108","7","-","-","4 out of 5 stars","-","-","-"
"393",14,"Demarcus Robinson",SF,"WR139","8","-","-","2 out of 5 stars","+60","-0.6","38% (5/13)"
"394",14,"CJ Daniels",LAR,"WR140","11","-","-","1 out of 5 stars","-29","-","-"
"395",14,"Joey Slye",TEN,"K25","9","-","-","4 out of 5 stars","-74","+2.7","66% (10/15)"
"396",14,"Jaylin Lane",WAS,"WR141","7","-","-","2 out of 5 stars","+208","-","-"
"397",14,"Devontez Walker",BAL,"WR142","13","-","-","4 out of 5 stars","-84","-","-"
"398",14,"Roschon Johnson",CHI,"RB109","10","-","-","2 out of 5 stars","+272","-0.8","16% (1/6)"
"399",14,"Chad Ryland",ARI,"K26","14","-","-","2 out of 5 stars","-90","+0.8","53% (8/15)"
"400",14,"Luke Musgrave",GB,"TE54","11","-","-","2 out of 5 stars","-4","-1.1","25% (4/16)"
"401",14,"Washington Commanders",WAS,"DST28","7","-","-","2 out of 5 stars","-127","-1.7","37% (6/16)"
"402",14,"Ashton Dulin",IND,"WR143","13","-","-","4 out of 5 stars","+83","-","-"
"403",14,"Brandon McManus",FA,"K27","-","-","-","-","-26","+0.8","61% (8/13)"
"404",14,"Miami Dolphins",MIA,"DST29","6","-","-","3 out of 5 stars","-127","+0.1","56% (9/16)"
"405",14,"Daniel Carlson",NO,"K28","8","-","-","5 out of 5 stars","-","-1.0","31% (5/16)"
"406",14,"Jameis Winston",NYG,"QB43","8","-","-","4 out of 5 stars","-106","+3.1","20% (1/5)"
"407",14,"Tommy Tremble",CAR,"TE55","5","-","-","2 out of 5 stars","-40","-0.3","31% (5/16)"
"408",14,"Ben Sauls",NYG,"K29","8","-","-","2 out of 5 stars","-105","+1.3","50% (1/2)"
"409",14,"Las Vegas Raiders",LV,"DST30","13","-","-","4 out of 5 stars","-148","-2.0","18% (3/16)"
"410",14,"Marcus Mariota",WAS,"QB44","7","-","-","2 out of 5 stars","+88","0.0","33% (5/15)"
"411",14,"Ryan Fitzgerald",CAR,"K30","5","-","-","0 out of 5 stars","-89","+0.1","43% (7/16)"
"412",14,"Jam Miller",NE,"RB110","11","-","-","2 out of 5 stars","+123","-","-"
"413",14,"Jordan Whittington",LAR,"WR144","11","-","-","1 out of 5 stars","-53","-1.2","18% (3/16)"
"414",14,"Barion Brown",NO,"WR145","8","-","-","3 out of 5 stars","-67","-","-"
"415",14,"Rasheen Ali",BAL,"RB111","13","-","-","3 out of 5 stars","-","+0.5","35% (5/14)"
"416",14,"Sione Vaki",DET,"RB112","6","-","-","5 out of 5 stars","+259","-","-"
"417",15,"Cade Klubnik",NYJ,"QB45","13","-","-","4 out of 5 stars","-67","-","-"
"418",15,"New York Jets",NYJ,"DST31","13","-","-","4 out of 5 stars","+3","-2.6","25% (4/16)"
"419",15,"Ben Sinnott",WAS,"TE56","7","-","-","1 out of 5 stars","+190","+0.1","40% (6/15)"
"420",15,"Joe Milton III",DAL,"QB46","14","-","-","2 out of 5 stars","-44","-0.1","7% (1/14)"
"421",15,"John Bates",WAS,"TE57","7","-","-","1 out of 5 stars","+182","-0.8","28% (4/14)"
"422",15,"Elijah Higgins",ARI,"TE58","14","-","-","2 out of 5 stars","-32","+0.1","43% (7/16)"
"423",15,"Austin Hooper",ATL,"TE59","11","-","-","3 out of 5 stars","+164","+0.2","46% (7/15)"
"424",15,"Isaiah Williams",NYJ,"WR146","13","-","-","4 out of 5 stars","+182","-","-"
"425",15,"Mitchell Evans",CAR,"TE60","5","-","-","2 out of 5 stars","-","+0.8","56% (9/16)"
"426",15,"Daniel Bellinger",TEN,"TE61","9","-","-","3 out of 5 stars","+195","-","-"
"427",15,"Spencer Shrader",IND,"K31","13","-","-","4 out of 5 stars","-96","-","-"
"428",15,"Dyami Brown",WAS,"WR147","7","-","-","2 out of 5 stars","-","-1.5","27% (3/11)"
"429",15,"Greg Dortch",DET,"WR148","6","-","-","4 out of 5 stars","+54","+1.4","50% (6/12)"
"430",15,"Tyler Goodson",ATL,"RB113","11","-","-","2 out of 5 stars","-","-","-"
"431",15,"Tommy Myers",FA,"TE62","-","-","-","-","-","-","-"
"432",15,"Odell Beckham Jr.",NYG,"WR149","8","-","-","4 out of 5 stars","-92","-","-"
"433",15,"Hunter Luepke",DAL,"RB114","14","-","-","4 out of 5 stars","+178","-","-"
"434",15,"Dameon Pierce",PHI,"RB115","10","-","-","4 out of 5 stars","-","-0.9","25% (1/4)"
"435",15,"Austin Ekeler",FA,"RB116","-","-","-","-","+128","-","-"
"436",15,"Deion Burks",IND,"WR150","13","-","-","4 out of 5 stars","-","-","-"
"437",15,"Terrell Jennings",FA,"RB117","-","-","-","-","-","-","-"
"438",15,"Drew Stevens",WAS,"K32","7","-","-","5 out of 5 stars","-139","-","-"
"439",15,"Van Jefferson",WAS,"WR151","7","-","-","2 out of 5 stars","+95","-0.1","37% (6/16)"
"440",15,"Jake Moody",FA,"K33","-","-","-","-","-117","+2.9","62% (5/8)"
"441",15,"Jason Sanders",NYJ,"K34","13","-","-","2 out of 5 stars","-140","-","-"
"442",15,"Tai Felton",MIN,"WR152","6","-","-","5 out of 5 stars","+71","-","-"
"443",15,"Marlin Klein",HOU,"TE63","8","-","-","4 out of 5 stars","+67","-","-"
"444",15,"Zach Ertz",FA,"TE64","-","-","-","-","+130","-","-"
"445",15,"Zavier Scott",MIN,"RB118","6","-","-","4 out of 5 stars","-","0.0","40% (6/15)"
"446",15,"Matt Hibner",BAL,"TE65","13","-","-","4 out of 5 stars","-","-","-"
"447",15,"Isaiah Williams",FA,"WR153","-","-","-","-","-","-","-"
"448",15,"Alec Ingold",LAC,"RB119","7","-","-","3 out of 5 stars","-","-","-"
"449",15,"Jeremy McNichols",WAS,"RB120","7","-","-","4 out of 5 stars","-","-1.0","37% (6/16)"
"450",15,"Reggie Gilliam",NE,"RB121","11","-","-","2 out of 5 stars","+182","-","-"
"451",15,"Robert Henry Jr.",WAS,"RB122","7","-","-","4 out of 5 stars","-","-","-"
"452",15,"Jonnu Smith",GB,"TE66","11","-","-","2 out of 5 stars","+30","-1.0","25% (4/16)"
"453",15,"Ronnie Rivers",LAR,"RB123","11","-","-","5 out of 5 stars","+216","-","-"
"454",15,"Josh Williams",TB,"RB124","10","-","-","2 out of 5 stars","-120","-","-"
"455",15,"Dylan Laube",LV,"RB125","13","-","-","2 out of 5 stars","-","-","-"
"456",15,"Arizona Cardinals",ARI,"DST32","14","-","-","2 out of 5 stars","-165","-0.8","31% (5/16)"
"457",15,"Jahdae Walker",CHI,"WR154","10","-","-","3 out of 5 stars","-24","+4.9","100% (2/2)"
"458",15,"Roman Hemby",LV,"RB126","13","-","-","2 out of 5 stars","-","-","-"
"459",15,"Mitch Tinsley",CIN,"WR155","6","-","-","4 out of 5 stars","+158","-","-"
"460",15,"Tyler Badie",DEN,"RB127","10","-","-","2 out of 5 stars","-","-0.6","40% (6/15)"
"461",15,"Patrick Ricard",NYG,"RB128","8","-","-","4 out of 5 stars","+63","-","-"
"462",15,"Elijah Moore",PHI,"WR156","10","-","-","4 out of 5 stars","+198","-","-"
"463",15,"Will Kacmarek",MIA,"TE67","6","-","-","5 out of 5 stars","-61","-","-"
"464",15,"Damien Martinez",GB,"RB129","11","-","-","4 out of 5 stars","-","-","-"
"465",15,"Riley Leonard",IND,"QB47","13","-","-","4 out of 5 stars","+74","-0.4","0% (0/3)"
"466",15,"Khalil Herbert",SF,"RB130","8","-","-","2 out of 5 stars","+196","-","-"
"467",15,"DeAndre Hopkins",BAL,"WR157","13","-","-","4 out of 5 stars","+102","-0.5","31% (5/16)"
"468",15,"Josh Oliver",MIN,"TE68","6","-","-","4 out of 5 stars","-113","+0.6","28% (4/14)"
"469",15,"Max Bredeson",MIN,"RB131","6","-","-","4 out of 5 stars","+109","-","-"
