player,position,nfl_team,projected_points,VBD_score,suggested_auction_price,historical_salary_if_known,notes
Jonathon Brooks,RB,CAR,148.6,109.96,13.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #89, tier 7"
Malik Nabers,WR,NYG,183.51,106.38999999999999,13.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #23, tier 4"
Blake Corum,RB,,134.1,95.46,12.0,1.0,
Chuba Hubbard,RB,CAR,143.25,104.61,12.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #97, tier 8"
Kenny Gainwell,RB,TB,136.45,97.80999999999999,12.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #98, tier 8"
Brock Bowers,TE,,177.91,79.46,12.0,6.0,
Tyrone Tracy Jr,RB,,,,11.0,11.0,
Trey McBride,TE,ARI,188.05,89.60000000000001,11.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #19, tier 3"
J.K. Dobbins,RB,DEN,134.15,95.51,11.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #100, tier 8"
Christian Watson,WR,,161.94,84.82,11.0,1.0,
Rachaad White,RB,WAS,127.05,88.41,11.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #111, tier 8"
AD Mitchell,WR,,,,11.0,11.0,
Jacory Croskey-Merritt,RB,WAS,127.0,88.36,11.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #113, tier 8"
Emeka Egbuka,WR,,166.25,89.13,11.0,1.0,
Parker Washington,WR,,162.09,84.97,11.0,1.0,
Jajuan Jennings,WR,,,,11.0,11.0,
Mike Evans,WR,,164.95,87.82999999999998,10.0,,no salary on record
Tyjae Spears,RB,,113.45,74.81,10.0,3.0,
Tucker Kraft,TE,,143.34,44.89,10.0,11.0,
Alec Pierce,WR,,154.64,77.51999999999998,10.0,1.0,
Jayden Higgins,WR,,,,10.0,10.0,
Rome Odunze,WR,CHI,159.72,82.6,10.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #57, tier 6"
Garrett Wilson,WR,NYJ,163.37,86.25,10.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #29, tier 4"
Xavier Worthy,WR,,118.5,41.379999999999995,9.0,11.0,
Jameson Williams,WR,DET,156.45,79.32999999999998,9.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #54, tier 6"
DK Metcalf,WR,PIT,148.53,71.41,9.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #78, tier 7"
Jayden Reed,WR,GB,143.93,66.81,8.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #103, tier 8"
Woody Marks,RB,,104.75,66.11,8.0,1.0,
Tyler Warren,TE,,162.68,64.23,8.0,1.0,
Marvin Harrison Jr.,WR,ARI,145.68,68.56,8.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #67, tier 6"
Carnell Tate,WR,TEN,140.03,62.91,8.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #66, tier 6"
Josh Downs,WR,IND,145.07,67.94999999999999,8.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #86, tier 7"
Courtland Sutton,WR,,137.35,60.22999999999999,7.0,,no salary on record
Rashid Shaheed,WR,,105.92,28.799999999999997,7.0,10.0,
Michael Pittman Jr.,WR,PIT,137.83,60.71000000000001,7.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #81, tier 7"
Jakobi Meyers,WR,JAC,131.61,54.49000000000001,7.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #105, tier 8"
Jalen Coker,WR,,124.35,47.22999999999999,7.0,3.0,
Michael Wilson,WR,,132.1,54.97999999999999,7.0,1.0,
Wan'Dale Robinson,WR,,133.19,56.06999999999999,7.0,1.0,
Colston Loveland,TE,,157.08,58.63000000000001,7.0,1.0,
Jordan Addison,WR,MIN,131.03,53.91,6.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #106, tier 8"
Keaton Mitchell,RB,LAC,90.45,51.81,6.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #144, tier 9"
Stefon Diggs,WR,,130.42,53.29999999999998,6.0,,no salary on record
Brian Thomas Jr,WR,,,,6.0,6.0,
Tyler Allgeier,RB,ARI,86.65,48.010000000000005,6.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #136, tier 9"
Dak Prescott,QB,,278.54,22.220000000000027,6.0,8.0,
Caleb Williams,QB,,271.0,14.680000000000007,6.0,11.0,
Kyle Pitts Sr,TE,,,,6.0,6.0,
Romeo Doubs,WR,,122.25,45.129999999999995,6.0,1.0,
Quentin Johnston,WR,,125.4,48.28,6.0,1.0,
Sam LaPorta,TE,DET,139.7,41.249999999999986,5.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #85, tier 7"
Drake Maye,QB,NE,296.32,40.0,5.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #38, tier 5"
Mike Washington Jr.,RB,LV,80.65,42.010000000000005,5.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #163, tier 10"
Jake Ferguson,TE,,117.94,19.489999999999995,5.0,6.0,
Makai Lemon,WR,PHI,119.03,41.91,5.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #108, tier 8"
Dylan Sampson,RB,CLE,79.3,40.66,5.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #142, tier 9"
KC Concepcion,WR,CLE,118.36,41.239999999999995,5.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #117, tier 8"
Dalton Kincaid,TE,,118.1,19.64999999999999,5.0,6.0,
Braelon Allen,RB,,68.77,30.129999999999995,4.0,,no salary on record; on IR
MarShawn Lloyd,RB,GB,75.39,36.75,4.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #162, tier 10"
Travis Kelce,TE,KC,129.94,31.489999999999995,4.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #94, tier 8"
Tank Bigsby,RB,PHI,68.64,30.0,4.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #159, tier 10"
Samaje Perine,RB,CIN,68.35,29.709999999999994,4.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #262, tier 12"
Baker Mayfield,QB,,243.4,0.0,4.0,11.0,
Trey Benson,RB,,11.03,0.0,4.0,11.0,
Mark Andrews,TE,BAL,128.18,29.730000000000004,4.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #131, tier 9"
Jayden Daniels,QB,WAS,293.28,36.95999999999998,4.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #52, tier 6"
Jalen McMillan,WR,,92.48,15.36,3.0,2.0,
Jonah Coleman,RB,DEN,67.3,28.659999999999997,3.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #148, tier 9"
Denzel Boston,WR,CLE,106.28,29.159999999999997,3.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #145, tier 9"
Dallas Goedert,TE,,119.45,21.0,3.0,,no salary on record
Emmett Johnson,RB,KC,63.25,24.61,3.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #183, tier 10"
Tre Tucker,WR,,95.11,17.989999999999995,3.0,1.0,
Najee Harris,RB,,41.47,2.8299999999999983,3.0,8.0,
Ray Davis,RB,BUF,61.54,22.9,3.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #187, tier 10"
Pat Bryant,WR,,79.5,2.3799999999999955,3.0,7.0,
Jaydon Blue,RB,,54.64,16.0,3.0,4.0,
Hunter Henry,TE,,119.7,21.25,3.0,2.0,
Justice Hill,RB,BAL,57.9,19.259999999999998,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #238, tier 11"
Isaiah Likely,TE,NYG,115.25,16.799999999999997,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #122, tier 8"
Jordyn Tyson,WR,NO,94.75,17.629999999999995,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #132, tier 9"
De'Zhaun Stribling,WR,SF,92.85,15.72999999999999,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #134, tier 9"
Jerry Jeudy,WR,CLE,93.02,15.899999999999991,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #161, tier 10"
Jaxson Dart,QB,,273.12,16.80000000000001,2.0,1.0,
Brock Purdy,QB,,256.32,0.0,2.0,5.0,
Jalen Nailor,WR,LV,94.21,17.08999999999999,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #185, tier 10"
Brenton Strange,TE,,112.65,14.200000000000003,2.0,1.0,
Chris Rodriguez Jr,RB,,,,2.0,2.0,
Malik Washington,WR,,92.28,15.159999999999997,2.0,1.0,
Juwan Johnson,TE,,111.55,13.099999999999994,2.0,1.0,
Dalton Schultz,TE,,109.4,10.950000000000003,2.0,1.0,
Trevor Lawrence,QB,,272.04,15.720000000000027,2.0,1.0,
Justin Herbert,QB,,263.56,7.240000000000009,2.0,4.0,
Kimani Vidal,RB,,54.72,16.08,2.0,1.0,
Cedric Tillman,WR,,19.7,0.0,2.0,5.0,
Tahj Brooks,RB,CIN,23.18,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #319, tier 13"
Darnell Washington,TE,PIT,60.1,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #320, tier 13"
Jahan Dotson,WR,ATL,66.13,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #321, tier 13"
Oscar Delp,TE,NO,34.7,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #322, tier 13"
Michael Mayer,TE,LV,58.35,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #324, tier 13"
Elijah Arroyo,TE,SEA,52.8,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #326, tier 13"
Charlie Kolar,TE,LAC,48.57,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #327, tier 13"
Jalen Tolbert,WR,MIA,43.35,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #329, tier 13"
Bryce Lance,WR,NO,36.45,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #328, tier 13"
DeMario Douglas,WR,NE,61.67,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #317, tier 13"
Xavier Hutchinson,WR,HOU,33.06,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #330, tier 13"
Carson Beck,QB,ARI,51.46,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #332, tier 13"
Cole Kmet,TE,CHI,53.05,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #333, tier 13"
Erick All Jr.,TE,CIN,52.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #334, tier 13"
Tyler Higbee,TE,LAR,33.6,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #336, tier 13"
Tez Johnson,WR,TB,33.4,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #337, tier 13"
