player,position,nfl_team,projected_points,VBD_score,suggested_auction_price,historical_salary_if_known,notes
Tetairoa McMillan,WR,CAR,176.4,107.9,11.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #34, tier 4"
Jajuan Jennings,WR,,,,11.0,11.0,
Tyrone Tracy Jr,RB,,,,11.0,11.0,
Wan'Dale Robinson,WR,,171.9,103.4,11.0,1.0,
AD Mitchell,WR,,,,11.0,11.0,
Woody Marks,RB,,133.1,102.6,11.0,1.0,
Emeka Egbuka,WR,,164.2,95.69999999999999,11.0,1.0,
Jacory Croskey-Merritt,RB,WAS,135.8,105.30000000000001,11.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #113, tier 8"
Drake London,WR,ATL,167.9,99.4,11.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #11, tier 2"
CeeDee Lamb,WR,DAL,163.4,94.9,10.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #7, tier 2"
Stefon Diggs,WR,,167.8,99.30000000000001,10.0,,no salary on record
Omarion Hampton,RB,,119.7,89.2,10.0,1.0,
Blake Corum,RB,,118.2,87.7,10.0,1.0,
Alec Pierce,WR,,159.8,91.30000000000001,10.0,1.0,
Justin Jefferson,WR,MIN,159.5,91.0,10.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #9, tier 2"
Rachaad White,RB,WAS,123.0,92.5,10.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #111, tier 8"
Baker Mayfield,QB,,271.92,45.34,9.0,11.0,
Tyler Allgeier,RB,ARI,116.0,85.5,9.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #136, tier 9"
Cam Skattebo,RB,NYG,115.7,85.2,9.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #59, tier 6"
DK Metcalf,WR,PIT,157.7,89.19999999999999,9.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #78, tier 7"
Quentin Johnston,WR,,145.7,77.19999999999999,9.0,1.0,
Kimani Vidal,RB,,109.9,79.4,9.0,1.0,
Rashid Shaheed,WR,,115.1,46.599999999999994,9.0,10.0,
Jayden Higgins,WR,,109.0,40.5,8.0,10.0,
Romeo Doubs,WR,,137.9,69.4,8.0,1.0,
Troy Franklin,WR,,144.6,76.1,8.0,1.0,
Keenan Allen,WR,IND,142.2,73.69999999999999,8.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #190, tier 10"
Bo Nix,QB,,304.84,78.25999999999996,8.0,,no salary on record
Jauan Jennings,WR,MIN,145.8,77.30000000000001,8.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #166, tier 10"
Parker Washington,WR,,143.7,75.19999999999999,8.0,1.0,
Jake Ferguson,TE,,147.1,52.099999999999994,8.0,6.0,
Justin Herbert,QB,,286.88,60.29999999999998,8.0,4.0,
Brock Bowers,TE,,144.2,49.19999999999999,8.0,6.0,
Chuba Hubbard,RB,CAR,110.4,79.9,8.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #97, tier 8"
J.K. Dobbins,RB,DEN,110.4,79.9,8.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #100, tier 8"
Xavier Worthy,WR,,88.9,20.400000000000006,7.0,11.0,
Hunter Henry,TE,,148.8,53.80000000000001,7.0,2.0,
Devin Singletary,RB,NYG,99.8,69.3,7.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #299, tier 12"
Jakobi Meyers,WR,JAC,138.3,69.80000000000001,7.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #105, tier 8"
Jared Goff,QB,DET,297.06,70.47999999999999,7.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #107, tier 8"
Tre Tucker,WR,,133.2,64.69999999999999,7.0,1.0,
Tyjae Spears,RB,,89.2,58.7,7.0,3.0,
Ty Johnson,RB,BUF,88.3,57.8,6.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #261, tier 12"
Bhayshul Tuten,RB,,83.6,53.099999999999994,6.0,,no salary on record
Brian Thomas Jr,WR,,,,6.0,6.0,
Travis Kelce,TE,KC,155.2,60.19999999999999,6.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #94, tier 8"
Tyler Warren,TE,,150.5,55.5,6.0,1.0,
Emanuel Wilson,RB,,87.0,56.5,6.0,1.0,
Rome Odunze,WR,CHI,124.1,55.599999999999994,6.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #57, tier 6"
Sean Tucker,RB,TB,87.4,56.900000000000006,6.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #202, tier 11"
Kyle Pitts Sr,TE,,,,6.0,6.0,
Dallas Goedert,TE,,155.1,60.099999999999994,6.0,,no salary on record
Michael Carter,RB,,82.5,52.0,6.0,1.0,
Jordan Addison,WR,MIN,114.1,45.599999999999994,5.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #106, tier 8"
Christian Watson,WR,,114.9,46.400000000000006,5.0,1.0,
Dalton Schultz,TE,,136.7,41.69999999999999,5.0,1.0,
Juwan Johnson,TE,,141.4,46.400000000000006,5.0,1.0,
Kayshon Boutte,WR,,107.6,39.099999999999994,5.0,1.0,
Tucker Kraft,TE,,101.2,6.200000000000003,5.0,11.0,
Trey Benson,RB,,28.9,0.0,5.0,11.0,
Colston Loveland,TE,,136.1,41.099999999999994,5.0,1.0,
Bam Knight,RB,ARI,81.9,51.400000000000006,5.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #344, tier 13"
Isaiah Davis,RB,,60.7,30.200000000000003,4.0,1.0,
Dylan Sampson,RB,CLE,71.1,40.599999999999994,4.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #142, tier 9"
Samaje Perine,RB,CIN,69.4,38.900000000000006,4.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #262, tier 12"
Josh Downs,WR,IND,107.4,38.900000000000006,4.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #86, tier 7"
Marvin Harrison Jr.,WR,ARI,107.3,38.8,4.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #67, tier 6"
Dalton Kincaid,TE,,106.6,11.599999999999994,4.0,6.0,
Devin Neal,RB,,51.5,21.0,3.0,1.0,
Najee Harris,RB,,10.1,0.0,3.0,8.0,
Justice Hill,RB,BAL,54.7,24.200000000000003,3.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #238, tier 11"
Ryan Flournoy,WR,DAL,94.0,25.5,3.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #177, tier 10"
Elic Ayomanor,WR,,96.0,27.5,3.0,1.0,
Jerry Jeudy,WR,CLE,95.7,27.200000000000003,3.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #161, tier 10"
Jeremy McNichols,RB,WAS,60.2,29.700000000000003,3.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #449, tier 15"
Pat Bryant,WR,,59.3,0.0,3.0,7.0,
AJ Barner,TE,,121.3,26.299999999999997,3.0,1.0,
Cedric Tillman,WR,,49.5,0.0,2.0,5.0,
Jaxson Dart,QB,,241.58,15.0,2.0,1.0,
Jalen Coker,WR,,73.9,5.400000000000006,2.0,3.0,
Chris Rodriguez Jr,RB,,,,2.0,2.0,
Chimere Dike,WR,TEN,90.1,21.599999999999994,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #255, tier 12"
Jaydon Blue,RB,,19.9,0.0,2.0,4.0,
Jalen Nailor,WR,LV,86.2,17.700000000000003,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #185, tier 10"
Keon Coleman,WR,BUF,83.4,14.900000000000006,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #249, tier 11"
Tank Bigsby,RB,PHI,52.3,21.799999999999997,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #159, tier 10"
Mack Hollins,WR,NE,90.4,21.900000000000006,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #300, tier 12"
Emari Demercado,RB,KC,51.8,21.299999999999997,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #295, tier 12"
Colby Parkinson,TE,,108.3,13.299999999999997,2.0,1.0,
Darius Slayton,WR,,80.3,11.799999999999997,2.0,1.0,
Malik Washington,WR,,87.7,19.200000000000003,2.0,1.0,
Brashard Smith,RB,KC,50.8,20.299999999999997,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #294, tier 12"
Ray Davis,RB,BUF,53.1,22.6,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #187, tier 10"
Jaylen Wright,RB,MIA,45.7,15.200000000000003,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #242, tier 11"
Keaton Mitchell,RB,LAC,50.9,20.4,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #144, tier 9"
Brock Purdy,QB,,177.38,0.0,2.0,5.0,
Austin Hooper,TE,ATL,48.8,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #423, tier 15"
Ben Sinnott,TE,WAS,22.9,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #419, tier 15"
John Bates,TE,WAS,21.8,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #421, tier 15"
Joe Milton III,QB,DAL,10.32,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #420, tier 15"
Jordan Whittington,WR,LAR,27.3,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #413, tier 14"
Elijah Higgins,TE,ARI,43.1,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #422, tier 15"
Sione Vaki,RB,DET,0.4,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #416, tier 14"
Isaiah Williams,WR,NYJ,33.7,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #424, tier 15"
Rasheen Ali,RB,BAL,19.7,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #415, tier 14"
Nick Westbrook-Ikhine,WR,IND,14.4,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #390, tier 14"
Marcus Mariota,QB,WAS,125.5,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #410, tier 14"
Tommy Tremble,TE,CAR,50.4,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #407, tier 14"
Luke McCaffrey,WR,WAS,45.8,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #343, tier 13"
Dawson Knox,TE,BUF,85.7,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #348, tier 14"
Noah Gray,TE,KC,28.3,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #352, tier 14"
Mac Jones,QB,SF,130.04,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #353, tier 14"
Treylon Burks,WR,WAS,24.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #356, tier 14"
Ja'Tavion Sanders,TE,CAR,39.5,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #357, tier 14"
Justin Fields,QB,KC,142.66,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #364, tier 14"
Jawhar Jordan,RB,HOU,26.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #365, tier 14"
Roman Wilson,WR,PIT,32.6,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #367, tier 14"
Savion Williams,WR,GB,20.5,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #372, tier 14"
Kalif Raymond,WR,CHI,48.8,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #375, tier 14"
KaVontae Turpin,WR,DAL,71.5,3.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #376, tier 14"
Raheim Sanders,RB,CLE,18.8,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #378, tier 14"
Dont'e Thornton Jr.,WR,LV,18.5,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #380, tier 14"
Noah Fant,TE,NO,57.8,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #383, tier 14"
Joe Flacco,QB,CIN,146.66,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #386, tier 14"
Tutu Atwell,WR,LAR,28.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #387, tier 14"
John Metchie III,WR,CAR,55.4,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #389, tier 14"
Daniel Bellinger,TE,TEN,50.1,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #426, tier 15"
Phil Mafah,RB,DAL,9.9,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #391, tier 14"
Demarcus Robinson,WR,SF,47.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #393, tier 14"
Jaylin Lane,WR,WAS,29.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #396, tier 14"
Devontez Walker,WR,BAL,34.6,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #397, tier 14"
Roschon Johnson,RB,CHI,1.7,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #398, tier 14"
Luke Musgrave,TE,GB,37.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #400, tier 14"
Ashton Dulin,WR,IND,17.5,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #402, tier 14"
Jameis Winston,QB,NYG,42.78,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #406, tier 14"
Mitchell Evans,TE,CAR,38.7,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #425, tier 15"
Trey Lance,QB,LAC,13.54,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #517, tier 16"
Dyami Brown,WR,WAS,39.7,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #428, tier 15"
Greg Dortch,WR,DET,60.6,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #429, tier 15"
KeAndre Lambert-Smith,WR,LAC,13.6,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #509, tier 16"
Jalen Royals,WR,KC,1.4,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #341, tier 13"
Jordan Watkins,WR,SF,3.6,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #473, tier 15"
Antonio Gibson,RB,FA,16.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #474, tier 15"
Xavier Smith,WR,LAR,39.3,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #475, tier 15"
Jeremy Ruckert,TE,NYJ,35.4,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #508, tier 16"
Quinn Ewers,QB,MIA,32.68,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #477, tier 15"
Tyson Bagent,QB,CHI,2.58,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #506, tier 16"
Durham Smythe,TE,BAL,4.5,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #505, tier 16"
British Brooks,RB,HOU,7.8,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #478, tier 15"
Cade Stover,TE,HOU,13.9,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #479, tier 15"
Jimmy Horn Jr.,WR,CAR,23.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #480, tier 15"
Kene Nwangwu,RB,NYJ,4.9,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #498, tier 16"
Adam Trautman,TE,DEN,35.5,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #496, tier 16"
Tim Patrick,WR,NYJ,44.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #481, tier 15"
Marquez Valdes-Scantling,WR,DAL,25.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #484, tier 15"
Jacob Saylors,RB,DET,1.1,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #485, tier 15"
Jackson Hawes,TE,BUF,44.7,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #487, tier 16"
Tyrod Taylor,QB,GB,59.46,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #488, tier 16"
Drew Sample,TE,CIN,24.4,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #495, tier 16"
Xavier Restrepo,WR,TEN,5.6,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #493, tier 16"
Moliki Matavao,TE,NO,2.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #489, tier 16"
Jake Browning,QB,TB,48.74,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #490, tier 16"
Tanner Hudson,TE,CIN,38.3,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #510, tier 16"
Tyler Conklin,TE,DET,13.8,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #511, tier 16"
Luke Schoonmaker,TE,DAL,20.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #512, tier 16"
Josh Williams,RB,TB,1.1,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #454, tier 15"
Tyler Goodson,RB,ATL,4.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #430, tier 15"
Hunter Luepke,RB,DAL,30.5,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #433, tier 15"
Dameon Pierce,RB,PHI,3.6,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #434, tier 15"
Austin Ekeler,RB,FA,10.6,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #435, tier 15"
Terrell Jennings,RB,FA,14.7,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #437, tier 15"
Tai Felton,WR,MIN,4.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #442, tier 15"
Zavier Scott,RB,MIN,32.2,1.7000000000000028,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #445, tier 15"
Reggie Gilliam,RB,NE,3.8,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #450, tier 15"
Jonnu Smith,TE,GB,66.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #452, tier 15"
Ronnie Rivers,RB,LAR,4.6,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #453, tier 15"
Dylan Laube,RB,LV,2.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #455, tier 15"
Jaret Patterson,RB,LAC,24.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #513, tier 16"
Jahdae Walker,WR,CHI,23.7,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #457, tier 15"
Tyler Badie,RB,DEN,25.9,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #460, tier 15"
Patrick Ricard,RB,NYG,1.6,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #461, tier 15"
Elijah Moore,WR,PHI,24.1,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #462, tier 15"
Riley Leonard,QB,IND,29.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #465, tier 15"
Khalil Herbert,RB,SF,6.1,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #466, tier 15"
