player,position,nfl_team,projected_points,VBD_score,suggested_auction_price,hypothetical_open_market_value,historical_salary_if_known,notes
Jonah Coleman,RB,DEN,67.3,23.570833333333333,11.0,7.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #148, tier 9"
MarShawn Lloyd,RB,GB,75.39,22.537857142857145,11.0,6.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #162, tier 10"
Tyrone Tracy Jr,RB,,,,11.0,11.0,11.0,
Mark Andrews,TE,,128.18,19.596666666666668,11.0,7.0,43.0,
AD Mitchell,WR,,,,11.0,11.0,11.0,
Jayden Higgins,WR,,,,10.0,10.0,10.0,
Tank Bigsby,RB,PHI,68.64,19.162857142857145,9.0,5.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #159, tier 10"
Braelon Allen,RB,,68.77,19.227857142857143,9.0,5.0,,no salary on record; on IR
Dallas Goedert,TE,,119.45,19.25333333333333,9.0,5.0,,no salary on record
Isaiah Likely,TE,NYG,115.25,17.15333333333333,8.0,4.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #122, tier 8"
Jake Ferguson,TE,,117.94,18.498333333333328,8.0,5.0,6.0,
Xavier Worthy,WR,,118.5,17.37642857142857,8.0,5.0,11.0,
Caleb Williams,QB,,271.0,17.2825,8.0,5.0,11.0,
Dalton Kincaid,TE,,118.1,18.578333333333326,8.0,5.0,6.0,
Dak Prescott,QB,,278.54,15.300000000000022,7.0,4.0,8.0,
Ray Davis,RB,BUF,61.54,15.612857142857145,7.0,4.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #187, tier 10"
Emmett Johnson,RB,KC,63.25,16.467857142857145,7.0,4.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #183, tier 10"
Marvin Harrison Jr,WR,,,,6.0,7.0,6.0,tagged 2025
Hunter Henry,TE,,119.7,15.356666666666666,6.0,4.0,2.0,
Brian Thomas Jr,WR,,,,6.0,7.0,6.0,
Kyle Pitts Sr,TE,,,,6.0,7.0,6.0,
Justin Herbert,QB,,263.56,13.5625,6.0,3.0,4.0,
Juwan Johnson,TE,,111.55,11.281666666666663,5.0,3.0,1.0,
Brenton Strange,TE,,112.65,11.831666666666667,5.0,3.0,1.0,
Kimani Vidal,RB,,54.72,12.202857142857145,5.0,3.0,1.0,
Rashid Shaheed,WR,,105.92,11.08642857142857,5.0,3.0,10.0,
Trevor Lawrence,QB,,272.04,12.050000000000022,5.0,3.0,1.0,
Denzel Boston,WR,CLE,106.28,11.26642857142857,5.0,3.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #145, tier 9"
Samaje Perine,RB,CIN,68.35,10.320294117647057,4.0,3.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #262, tier 12"
Dalton Schultz,TE,,109.4,10.206666666666667,4.0,3.0,1.0,
Cooper Kupp,WR,,69.66,0.0,4.0,4.0,55.0,
James Conner,RB,,42.62,0.7330000000000002,4.0,4.0,59.0,
Chris Rodriguez Jr,RB,,,,3.0,3.0,2.0,
Jared Goff,QB,,261.71,2.450499999999991,3.0,3.0,27.0,
Patrick Mahomes,QB,,254.26,1.035499999999999,3.0,3.0,36.0,
Keenan Allen,WR,,80.85,0.11038461538461501,3.0,3.0,29.0,
Brock Purdy,QB,,256.32,5.470000000000009,3.0,2.0,5.0,
Jaxson Dart,QB,,273.12,8.155500000000004,3.0,2.0,1.0,
Chig Okonkwo,TE,WAS,98.45,6.206666666666666,3.0,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #150, tier 9"
Justice Hill,RB,BAL,57.9,5.213000000000001,2.0,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #238, tier 11"
Keon Coleman,WR,,60.6,0.0,2.0,2.0,6.0,tagged 2025
Jaydon Blue,RB,,54.64,3.5830000000000015,2.0,2.0,4.0,
Adonai Mitchell,WR,NYJ,84.34,4.266428571428571,2.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #157, tier 9"
Jordyn Tyson,WR,NO,94.75,5.50142857142857,2.0,2.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #132, tier 9"
De'Zhaun Stribling,WR,SF,92.85,4.551428571428567,2.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #134, tier 9"
Jordan Love,QB,,256.74,1.035499999999999,2.0,2.0,17.0,
