seed,team,player,position,price,projected_points,is_starting_qb,is_starting_rb,is_starting_wr,is_starting_te,is_starting_flex,is_starter
0,Brad,Alec Pierce,WR,11.0,154.64,False,False,False,False,True,True
0,Brad,Jaxon Smith-Njigba,WR,31.0,253.78,False,False,True,False,False,True
0,Brad,Jaydon Blue,RB,14.0,54.64,False,False,False,False,False,False
0,Brad,Jameson Williams,WR,41.0,156.45,False,False,False,False,True,True
0,Brad,Marvin Harrison Jr,WR,16.0,145.68,False,False,False,False,False,False
0,Brad,Tyler Warren,TE,6.0,162.68,False,False,False,True,False,True
0,Brad,RJ Harvey,RB,51.88,136.65,False,True,False,False,False,True
0,Brad,Jacory Croskey-Merritt,RB,47.830000000000005,127.0,False,False,False,False,False,False
0,Brad,Davante Adams,WR,36.0,161.35,False,False,True,False,False,True
0,Brad,Zach Charbonnet,RB,25.14,107.61,False,False,False,False,False,False
0,Brad,DK Metcalf,WR,23.86,148.53,False,False,False,False,True,True
0,Brad,Tyler Allgeier,RB,15.86,86.65,False,False,False,False,False,False
0,Brad,Joe Burrow,QB,15.764280000000003,282.7,True,False,False,False,False,True
0,Brad,Travis Etienne,RB,11.059155555555556,190.4,False,True,False,False,False,True
0,Brad,Keaton Mitchell,RB,10.257380000000001,90.45,False,False,False,False,False,False
0,Brandon,Jonathan Taylor,RB,46.0,256.35,False,True,False,False,False,True
0,Brandon,Justin Jefferson,WR,46.0,221.18,False,False,True,False,False,True
0,Brandon,Nico Collins,WR,36.0,214.51,False,False,True,False,False,True
0,Brandon,Breece Hall,RB,31.0,201.5,False,False,False,False,True,True
0,Brandon,Brock Bowers,TE,16.0,177.91,False,False,False,True,False,True
0,Brandon,Christian McCaffrey,RB,46.0,265.35,False,True,False,False,False,True
0,Brandon,Tee Higgins,WR,141.26,181.9,False,False,False,False,True,True
0,Brandon,Deebo Samuel,WR,35.42743055555555,102.68,False,False,False,False,False,False
0,Brandon,Makai Lemon,WR,1.3099999999999996,119.03,False,False,False,False,True,True
0,Brandon,Kimani Vidal,RB,1.0,54.72,False,False,False,False,False,False
0,Brandon,Chig Okonkwo,TE,1.0,98.45,False,False,False,False,False,False
0,Brandon,Ray Davis,RB,1.0,61.54,False,False,False,False,False,False
0,Brandon,Cam Ward,QB,1.0,221.28,False,False,False,False,False,False
0,Brandon,Jared Goff,QB,1.0,261.71,True,False,False,False,False,True
