seed,team,keeper_state_status,n_players,n_qb_rostered,legal_roster,has_duplicate_player,lineup_is_legal,lineup_failure_reason,starting_lineup_points,bench_option_value,total_roster_utility,raw_all_rostered_points,budget_remaining_unspent_cash
4,Reid,PARTIALLY_CONFIRMED,15,2,True,False,True,,1580.56,88.11,1668.67,2256.98,0.0
4,Ryan J,PARTIALLY_CONFIRMED,15,2,True,False,True,,1506.85,46.74,1553.59,1905.49,0.0
4,Sam,CONFIRMED,15,1,True,False,True,,2034.28,93.09,2127.37,2815.46,3.71
4,Shane,PARTIALLY_CONFIRMED,15,2,True,False,False,MISSING_TE,0.0,0.0,0.0,2327.06,0.0
4,Travis,PARTIALLY_CONFIRMED,15,3,True,False,True,,1535.85,67.68,1603.53,2341.43,0.0
5,Brad,PARTIALLY_CONFIRMED,15,2,True,False,True,,1570.49,108.08,1678.57,2310.3,4.29
5,Brandon,PARTIALLY_CONFIRMED,15,1,True,False,True,,2315.96,106.2,2422.16,3162.8,29.88
5,CJ,PARTIALLY_CONFIRMED,15,1,True,False,True,,1484.17,85.3,1569.47,1982.3,3.32
5,Coby,PARTIALLY_CONFIRMED,15,1,True,False,True,,2034.94,120.77,2155.71,2775.46,45.25
5,Evan,PARTIALLY_CONFIRMED,15,2,True,False,True,,1897.6,96.85,1994.45,2555.4,0.0
5,James,PARTIALLY_CONFIRMED,15,2,True,False,True,,1443.23,80.59,1523.82,2031.37,0.0
5,Jason,PARTIALLY_CONFIRMED,15,1,True,False,True,,1974.01,126.8,2100.81,2669.55,3.61
5,Reid,PARTIALLY_CONFIRMED,15,2,True,False,True,,1890.7,120.26,2010.96,2622.93,0.0
5,Ryan J,PARTIALLY_CONFIRMED,15,2,True,False,True,,1594.51,83.37,1677.88,2217.92,0.0
5,Sam,CONFIRMED,15,3,True,False,True,,1480.81,45.86,1526.67,1905.62,0.0
5,Shane,PARTIALLY_CONFIRMED,15,2,True,False,False,MISSING_TE,0.0,0.0,0.0,2400.92,0.0
5,Travis,PARTIALLY_CONFIRMED,15,1,True,False,True,,1464.45,97.45,1561.9,2020.54,5.53
6,Brad,PARTIALLY_CONFIRMED,15,3,True,False,True,,1508.96,79.68,1588.64,2304.82,0.0
6,Brandon,PARTIALLY_CONFIRMED,15,2,True,False,True,,1978.61,109.57,2088.18,2529.6,2.45
6,CJ,PARTIALLY_CONFIRMED,15,1,True,False,True,,1656.22,86.24,1742.46,2127.38,0.0
6,Coby,PARTIALLY_CONFIRMED,15,1,True,False,True,,1554.99,75.39,1630.38,2113.84,2.42
6,Evan,PARTIALLY_CONFIRMED,15,1,True,False,True,,1948.12,69.16,2017.28,2342.14,0.0
6,James,PARTIALLY_CONFIRMED,15,4,True,False,True,,1657.56,88.13,1745.69,2369.43,5.39
6,Jason,PARTIALLY_CONFIRMED,15,3,True,False,True,,1899.95,120.99,2020.94,2762.81,0.0
6,Reid,PARTIALLY_CONFIRMED,15,3,True,False,True,,1993.69,131.45,2125.14,3107.26,14.94
6,Ryan J,PARTIALLY_CONFIRMED,15,5,True,False,True,,1518.9,29.78,1548.68,2376.38,0.0
6,Sam,CONFIRMED,15,1,True,False,True,,1595.01,94.76,1689.77,2090.99,0.0
