pick,nomination_number,player,position,tier,nominating_team,nominator,winning_team,winner,sale_price,price,bidder_count,second_highest_bid,sale_is_organic,sale_has_competing_bid,forced_final_slot,budget_before,budget_after,slots_before,slots_after,minimum_reserve_after,winner_archetype,seed
76,76,Jonah Coleman,RB,8,Reid,Reid,Reid,Reid,1.0,1.0,1,0.0,True,False,False,6.0,5.0,6,5,5,stars_and_scrubs,4
77,77,George Kittle,TE,1,Brandon,Brandon,Brandon,Brandon,1.0,1.0,1,0.0,True,False,False,6.0,5.0,6,5,5,emotional,4
78,78,Rashid Shaheed,WR,7,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,7.0,6.0,7,6,6,emotional,4
79,79,Kimani Vidal,RB,9,Travis,Travis,Travis,Travis,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,anchor,4
80,80,Chig Okonkwo,TE,3,Ryan J,Ryan J,Ryan J,Ryan J,1.0,1.0,1,0.0,True,False,False,4.0,3.0,4,3,3,positional_extremist_rb,4
81,81,Dallas Goedert,TE,2,Jason,Jason,Jason,Jason,1.0,1.0,1,0.0,True,False,False,5.0,4.0,5,4,4,emotional,4
82,82,Ray Davis,RB,9,James,James,James,James,1.0,1.0,1,0.0,True,False,False,4.0,3.0,4,3,3,emotional,4
83,83,Isaiah Likely,TE,2,Reid,Reid,Reid,Reid,1.0,1.0,1,0.0,True,False,False,5.0,4.0,5,4,4,stars_and_scrubs,4
84,84,Tyrone Tracy Jr,RB,8,Brandon,Brandon,Brandon,Brandon,1.0,1.0,1,0.0,True,False,False,5.0,4.0,5,4,4,emotional,4
85,85,Samaje Perine,RB,9,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,6.0,5.0,6,5,5,emotional,4
86,86,Dalton Schultz,TE,3,Ryan J,Ryan J,Ryan J,Ryan J,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,positional_extremist_rb,4
87,87,Michael Penix Jr.,QB,10,Jason,Jason,Jason,Jason,1.0,1.0,1,0.0,True,False,False,4.0,3.0,4,3,3,emotional,4
88,88,Cooper Kupp,WR,8,James,James,James,James,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,emotional,4
89,89,Adonai Mitchell,WR,8,Reid,Reid,Reid,Reid,1.0,1.0,1,0.0,True,False,False,4.0,3.0,4,3,3,stars_and_scrubs,4
90,90,Emmett Johnson,RB,9,Brandon,Brandon,Brandon,Brandon,1.0,1.0,1,0.0,True,False,False,4.0,3.0,4,3,3,emotional,4
91,91,Christian Kirk,WR,9,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,5.0,4.0,5,4,4,emotional,4
92,92,Juwan Johnson,TE,3,Ryan J,Ryan J,Ryan J,Ryan J,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,positional_extremist_rb,4
93,93,Justice Hill,RB,10,Jason,Jason,Jason,Jason,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,emotional,4
94,94,Baker Mayfield,QB,3,James,James,James,James,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,emotional,4
95,95,Brenton Strange,TE,3,Reid,Reid,Reid,Reid,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,stars_and_scrubs,4
96,96,Rashod Bateman,WR,9,Brandon,Brandon,Brandon,Brandon,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,emotional,4
97,97,Keon Coleman,WR,8,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,4.0,3.0,4,3,3,emotional,4
98,98,Emanuel Wilson,RB,15,Ryan J,Ryan J,Ryan J,Ryan J,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,positional_extremist_rb,4
99,99,Chris Brooks,RB,11,Jason,Jason,Jason,Jason,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,emotional,4
100,100,De'Zhaun Stribling,WR,9,James,James,James,James,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,emotional,4
101,101,Patrick Mahomes,QB,3,Reid,Reid,Reid,Reid,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,stars_and_scrubs,4
102,102,Tyler Shough,QB,4,Brandon,Brandon,Brandon,Brandon,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,emotional,4
103,103,Chris Rodriguez Jr,RB,10,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,emotional,4
104,104,Cam Ward,QB,12,Jason,Jason,Jason,Jason,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,emotional,4
105,105,James Conner,RB,10,Reid,Reid,Reid,Reid,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,stars_and_scrubs,4
106,106,Jared Goff,QB,3,Brandon,Brandon,Brandon,Brandon,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,emotional,4
107,107,Kendre Miller,RB,13,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,emotional,4
108,108,Jordyn Tyson,WR,9,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,emotional,4
1,1,Rachaad White,RB,4,Shane,Shane,Travis,Travis,236.0,236.0,12,235.376,True,True,False,264.0,28.0,9,8,8,anchor,5
2,2,Bhayshul Tuten,RB,1,Reid,Reid,James,James,274.0,274.0,11,272.0,True,True,False,297.0,23.0,9,8,8,positional_extremist_rb,5
3,3,Jeremiyah Love,RB,1,Ryan J,Ryan J,CJ,CJ,250.0,250.0,11,247.0,True,True,False,264.0,14.0,9,8,8,stars_and_scrubs,5
4,4,Tee Higgins,WR,1,Coby,Coby,Ryan J,Ryan J,237.5,237.5,11,236.73666666666668,True,True,False,257.0,19.5,9,8,8,emotional,5
5,5,DJ Moore,WR,2,Jason,Jason,Sam,Sam,189.33333333333331,189.33333333333331,11,189.0,True,True,False,223.0,33.67,9,8,8,stars_and_scrubs,5
6,6,Bucky Irving,RB,1,Brandon,Brandon,Brad,Brad,176.31044444444444,176.31044444444444,11,175.31044444444444,True,True,False,281.0,104.69,9,8,8,tier_controller,5
7,7,Jaylen Warren,RB,2,Brad,Brad,Evan,Evan,94.58399999999999,94.58399999999999,11,93.58399999999999,True,True,False,184.0,89.42,9,8,8,positional_extremist_rb,5
8,8,Jaylen Waddle,WR,1,Sam,Sam,Jason,Jason,74.21683042921181,74.21683042921181,11,71.21683042921181,True,True,False,209.0,134.78,9,8,8,positional_extremist_wr,5
9,9,Kenny Gainwell,RB,3,Travis,Travis,Jason,Jason,85.42,85.42,12,84.42,True,True,False,134.78,49.36,8,7,7,positional_extremist_wr,5
10,10,Josh Jacobs,RB,1,James,James,Shane,Shane,106.42,106.42,10,105.42,True,True,False,324.0,217.58,9,8,8,value_purist,5
11,11,Tony Pollard,RB,2,CJ,CJ,Evan,Evan,74.39209955555555,74.39209955555555,11,69.39209955555555,True,True,False,89.42,15.03,8,7,7,positional_extremist_rb,5
12,12,Jordan Mason,RB,3,Evan,Evan,Reid,Reid,65.59595555555555,65.59595555555555,11,64.59595555555555,True,True,False,260.0,194.4,9,8,8,value_purist,5
13,13,James Cook,RB,2,Shane,Shane,Reid,Reid,76.81866666666667,76.81866666666667,11,75.81866666666667,True,True,False,194.4,117.58,8,7,7,value_purist,5
14,14,Bill Croskey-Merritt,RB,4,Reid,Reid,Coby,Coby,45.355555555555554,45.355555555555554,11,44.355555555555554,True,True,False,274.0,228.64,9,8,8,price_enforcer,5
15,15,Jonathon Brooks,RB,2,Ryan J,Ryan J,Reid,Reid,64.99851959184693,64.99851959184693,10,63.99851959184693,True,True,False,117.58,52.58,7,6,6,value_purist,5
16,16,JK Dobbins,RB,5,Coby,Coby,Coby,Coby,41.647637333333336,41.647637333333336,8,40.647637333333336,True,True,False,228.64,186.99,8,7,7,price_enforcer,5
17,17,Courtland Sutton,WR,4,Jason,Jason,Brad,Brad,40.498744888888886,40.498744888888886,7,39.558773333333335,True,True,False,104.69,64.19,8,7,7,tier_controller,5
18,18,Terry McLaurin,WR,2,Brandon,Brandon,Shane,Shane,44.16720786109565,44.16720786109565,10,43.16720786109565,True,True,False,217.58,173.41,8,7,7,value_purist,5
19,19,RJ Harvey,RB,3,Brad,Brad,Shane,Shane,48.0,48.0,10,47.0,True,True,False,173.41,125.41,7,6,6,value_purist,5
20,20,Deebo Samuel,WR,2,Sam,Sam,Reid,Reid,41.99817564163537,41.99817564163537,10,40.99817564163537,True,True,False,52.58,10.58,6,5,5,value_purist,5
21,21,DK Metcalf,WR,3,Travis,Travis,Coby,Coby,38.968,38.968,8,36.968,True,True,False,186.99,148.02,7,6,6,price_enforcer,5
22,22,Rashee Rice,WR,1,James,James,Shane,Shane,38.67,38.67,9,37.67,True,True,False,125.41,86.74,6,5,5,value_purist,5
23,23,Joe Flacco,QB,5,CJ,CJ,CJ,CJ,1.0,1.0,1,0.0,True,False,False,14.0,13.0,8,7,7,stars_and_scrubs,5
24,24,Aaron Jones Sr,RB,4,Evan,Evan,Shane,Shane,38.67,38.67,9,37.67,True,True,False,86.74,48.07,5,4,4,value_purist,5
25,25,Cam Ward,QB,12,Shane,Shane,Shane,Shane,1.0,1.0,1,0.0,True,False,False,48.07,47.07,4,3,3,value_purist,5
26,26,DeVonta Smith,WR,1,Reid,Reid,Shane,Shane,41.27831333333334,41.27831333333334,10,36.27831333333334,True,True,False,47.07,5.79,3,2,2,value_purist,5
27,27,Josh Allen,QB,1,Ryan J,Ryan J,Brandon,Brandon,31.163186666666668,31.163186666666668,8,30.163186666666668,True,True,False,184.0,152.84,9,8,8,price_enforcer,5
28,28,Nick Chubb,RB,5,Coby,Coby,Brandon,Brandon,31.0035,31.0035,7,30.0035,True,True,False,152.84,121.84,8,7,7,price_enforcer,5
29,29,Joe Burrow,QB,1,Jason,Jason,Coby,Coby,24.439447673567134,24.439447673567134,8,24.15705809712612,True,True,False,148.02,123.58,6,5,5,price_enforcer,5
30,30,TJ Hockenson,TE,1,Brandon,Brandon,Sam,Sam,26.62289,26.62289,8,22.62289,True,True,False,33.67,7.05,8,7,7,stars_and_scrubs,5
31,31,Jacory Croskey-Merritt,RB,4,Brad,Brad,Coby,Coby,24.79838666666667,24.79838666666667,8,24.449226666666668,True,True,False,123.58,98.78,5,4,4,price_enforcer,5
32,32,Justin Fields,QB,8,Sam,Sam,Sam,Sam,1.0,1.0,1,0.0,True,False,False,7.05,6.05,7,6,6,stars_and_scrubs,5
33,33,Davante Adams,WR,2,Travis,Travis,Brandon,Brandon,20.0,20.0,8,19.0,True,True,False,121.84,101.84,7,6,6,price_enforcer,5
34,34,Mike Evans,WR,3,James,James,Brandon,Brandon,20.0,20.0,7,19.0,True,True,False,101.84,81.84,6,5,5,price_enforcer,5
35,35,Chuba Hubbard,RB,3,CJ,CJ,Coby,Coby,16.492675555555557,16.492675555555557,6,15.492675555555557,True,True,False,98.78,82.29,4,3,3,price_enforcer,5
36,36,Tyler Allgeier,RB,6,Evan,Evan,Brad,Brad,17.192843333333336,17.192843333333336,6,16.192843333333336,True,True,False,64.19,47.0,7,6,6,tier_controller,5
37,37,Romeo Doubs,WR,5,Shane,Shane,Jason,Jason,17.0,17.0,5,16.0,True,True,False,49.36,32.36,7,6,6,positional_extremist_wr,5
38,38,Zach Charbonnet,RB,5,Reid,Reid,Coby,Coby,16.064836666666668,16.064836666666668,8,15.976986666666667,True,True,False,82.29,66.23,3,2,2,price_enforcer,5
39,39,Jalen Hurts,QB,1,Ryan J,Ryan J,Brad,Brad,16.711111111111112,16.711111111111112,8,15.878055555555557,True,True,False,47.0,30.29,6,5,5,tier_controller,5
40,40,Carnell Tate,WR,3,Coby,Coby,Brandon,Brandon,13.826543333333335,13.826543333333335,7,12.826543333333335,True,True,False,81.84,68.01,5,4,4,price_enforcer,5
41,41,Chris Godwin Jr,WR,3,Jason,Jason,James,James,13.775031111111113,13.775031111111113,8,12.775031111111113,True,True,False,23.0,9.22,8,7,7,positional_extremist_rb,5
42,42,Matthew Golden,WR,4,Brandon,Brandon,Brandon,Brandon,13.065476666666669,13.065476666666669,7,12.627833333333333,True,True,False,68.01,54.94,4,3,3,price_enforcer,5
43,43,Keaton Mitchell,RB,6,Brad,Brad,Coby,Coby,11.597461333333333,11.597461333333333,8,10.597461333333333,True,True,False,66.23,54.63,2,1,1,price_enforcer,5
44,44,Mark Andrews,TE,1,Sam,Sam,Brad,Brad,10.554382222222223,10.554382222222223,8,9.574166666666667,True,True,False,30.29,19.74,5,4,4,tier_controller,5
45,45,Khalil Shakir,WR,5,Travis,Travis,Brandon,Brandon,10.426391111111112,10.426391111111112,7,10.367560000000001,True,True,False,54.94,44.51,3,2,2,price_enforcer,5
46,46,Travis Etienne,RB,5,James,James,Ryan J,Ryan J,12.5,12.5,8,10.325070000000002,True,True,False,19.5,7.0,8,7,7,emotional,5
47,47,Josh Downs,WR,4,CJ,CJ,Coby,Coby,9.377771111111112,9.377771111111112,6,8.377771111111112,True,True,False,54.63,45.25,1,0,0,price_enforcer,5
48,48,Ricky Pearsall,WR,6,Evan,Evan,Brandon,Brandon,7.765994666666667,7.765994666666667,6,6.765994666666667,True,True,False,44.51,36.74,2,1,1,price_enforcer,5
49,49,Travis Kelce,TE,1,Shane,Shane,Brandon,Brandon,6.858133333333335,6.858133333333335,5,6.73792,True,True,False,36.74,29.88,1,0,0,price_enforcer,5
50,50,Austin Ekeler,RB,6,Reid,Reid,Reid,Reid,6.576666666666667,6.576666666666667,7,5.576666666666667,True,True,False,10.58,4.0,5,4,4,value_purist,5
51,51,Lamar Jackson,QB,1,Ryan J,Ryan J,Jason,Jason,6.553333333333334,6.553333333333334,6,5.553333333333334,True,True,False,32.36,25.81,6,5,5,positional_extremist_wr,5
52,52,Dylan Sampson,RB,7,Jason,Jason,Brad,Brad,6.653696,6.653696,6,6.4315875,True,True,False,19.74,13.09,4,3,3,tier_controller,5
53,53,Jakobi Meyers,WR,5,Brad,Brad,Jason,Jason,5.57648,5.57648,6,4.57648,True,True,False,25.81,20.23,5,4,4,positional_extremist_wr,5
54,54,Michael Pittman Jr,WR,4,Sam,Sam,Jason,Jason,6.0,6.0,5,5.0,True,True,False,20.23,14.23,4,3,3,positional_extremist_wr,5
55,55,Brian Robinson Jr,RB,6,Travis,Travis,Travis,Travis,5.460000000000001,5.460000000000001,6,4.79,True,True,False,28.0,22.54,8,7,7,anchor,5
56,56,Stefon Diggs,WR,5,James,James,Shane,Shane,4.79,4.79,4,4.0,True,True,False,5.79,1.0,2,1,1,value_purist,5
57,57,Jake Ferguson,TE,2,CJ,CJ,Evan,Evan,6.2959,6.2959,5,5.0113933333333325,True,True,False,15.03,8.73,7,6,6,positional_extremist_rb,5
58,58,Makai Lemon,WR,6,Evan,Evan,Travis,Travis,3.0,3.0,3,2.0,True,True,False,22.54,19.54,7,6,6,anchor,5
59,59,Braelon Allen,RB,8,Shane,Shane,Jason,Jason,5.306941666666666,5.306941666666666,6,4.306941666666666,True,True,False,14.23,8.92,3,2,2,positional_extremist_wr,5
60,60,George Kittle,TE,1,Reid,Reid,Travis,Travis,3.7288833333333327,3.7288833333333327,4,2.9505377777777775,True,True,False,19.54,15.81,6,5,5,anchor,5
61,61,CJ Stroud,QB,2,Ryan J,Ryan J,Travis,Travis,3.0039000000000002,3.0039000000000002,4,2.8750800000000005,True,True,False,15.81,12.81,5,4,4,anchor,5
62,62,Alvin Kamara,RB,7,Jason,Jason,James,James,3.023135555555556,3.023135555555556,4,2.8624700000000005,True,True,False,9.22,6.2,7,6,6,positional_extremist_rb,5
63,63,KC Concepcion,WR,6,Brad,Brad,Jason,Jason,2.9118844444444445,2.9118844444444445,4,2.6296355555555553,True,True,False,8.92,6.01,2,1,1,positional_extremist_wr,5
64,64,Dak Prescott,QB,2,Sam,Sam,Brad,Brad,4.0,4.0,3,3.0,True,True,False,13.09,9.09,3,2,2,tier_controller,5
65,65,Jayden Daniels,QB,2,Travis,Travis,Evan,Evan,2.80992,2.80992,3,1.80992,True,True,False,8.73,5.92,6,5,5,positional_extremist_rb,5
66,66,Mike Washington Jr.,RB,7,James,James,Brad,Brad,2.8829439999999997,2.8829439999999997,4,2.73760375,True,True,False,9.09,6.21,2,1,1,tier_controller,5
67,67,Isiah Pacheco,RB,7,CJ,CJ,Travis,Travis,2.36985,2.36985,5,1.9272066666666667,True,True,False,12.81,10.44,4,3,3,anchor,5
68,68,Dalton Kincaid,TE,2,Evan,Evan,Jason,Jason,2.3981569444444446,2.3981569444444446,3,1.9644444444444447,True,True,False,6.01,3.61,1,0,0,positional_extremist_wr,5
69,69,Jajuan Jennings,WR,6,Shane,Shane,Travis,Travis,2.2011,2.2011,3,1.9555555555555557,True,True,False,10.44,8.24,3,2,2,anchor,5
70,70,AD Mitchell,WR,7,Reid,Reid,Travis,Travis,1.5038,1.5038,4,1.2653333333333334,True,True,False,8.24,6.74,2,1,1,anchor,5
71,71,Jonah Coleman,RB,8,Ryan J,Ryan J,Evan,Evan,1.864142222222222,1.864142222222222,4,1.2595555555555555,True,True,False,5.92,4.06,5,4,4,positional_extremist_rb,5
72,72,Dallas Goedert,TE,2,Brad,Brad,CJ,CJ,1.2537777777777777,1.2537777777777777,2,1.0,True,True,False,13.0,11.75,7,6,6,stars_and_scrubs,5
73,73,Xavier Worthy,WR,7,Sam,Sam,Brad,Brad,1.92,1.92,2,1.0,True,True,False,6.21,4.29,1,0,0,tier_controller,5
74,74,Ray Davis,RB,9,Travis,Travis,Travis,Travis,1.2075833333333332,1.2075833333333332,3,1.2000000000000002,True,True,False,6.74,5.53,1,0,0,anchor,5
75,75,Rashid Shaheed,WR,7,James,James,CJ,CJ,1.5455555555555556,1.5455555555555556,2,1.0,True,True,False,11.75,10.2,6,5,5,stars_and_scrubs,5
76,76,Tyrone Tracy Jr,RB,8,CJ,CJ,James,James,1.2000000000000002,1.2000000000000002,3,1.0599999999999996,True,True,False,6.2,5.0,6,5,5,positional_extremist_rb,5
77,77,Kimani Vidal,RB,9,Evan,Evan,CJ,CJ,1.5311111111111113,1.5311111111111113,2,1.0,True,True,False,10.2,8.67,5,4,4,stars_and_scrubs,5
78,78,Isaiah Likely,TE,2,Shane,Shane,CJ,CJ,1.1722222222222223,1.1722222222222223,2,1.0,True,True,False,8.67,7.5,4,3,3,stars_and_scrubs,5
79,79,Jayden Higgins,WR,7,Reid,Reid,CJ,CJ,1.1666666666666667,1.1666666666666667,2,1.0,True,True,False,7.5,6.33,3,2,2,stars_and_scrubs,5
80,80,Chig Okonkwo,TE,3,Ryan J,Ryan J,CJ,CJ,1.5094444444444446,1.5094444444444446,2,1.0,True,True,False,6.33,4.82,2,1,1,stars_and_scrubs,5
81,81,Tank Bigsby,RB,8,Sam,Sam,CJ,CJ,1.5022222222222223,1.5022222222222223,2,1.0,True,True,False,4.82,3.32,1,0,0,stars_and_scrubs,5
82,82,Brenton Strange,TE,3,James,James,Evan,Evan,1.0599999999999996,1.0599999999999996,2,1.0,True,True,False,4.06,3.0,4,3,3,positional_extremist_rb,5
83,83,Emmett Johnson,RB,9,Evan,Evan,Sam,Sam,1.0499999999999998,1.0499999999999998,2,1.0,True,True,False,6.05,5.0,6,5,5,stars_and_scrubs,5
84,84,Adonai Mitchell,WR,8,Shane,Shane,Shane,Shane,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,value_purist,5
85,85,Justin Herbert,QB,2,Reid,Reid,Reid,Reid,1.0,1.0,1,0.0,True,False,False,4.0,3.0,4,3,3,value_purist,5
86,86,Dalton Schultz,TE,3,Ryan J,Ryan J,Ryan J,Ryan J,1.0,1.0,1,0.0,True,False,False,7.0,6.0,7,6,6,emotional,5
87,87,Trey Benson,RB,10,Sam,Sam,Sam,Sam,1.0,1.0,1,0.0,True,False,False,5.0,4.0,5,4,4,stars_and_scrubs,5
88,88,Jordan Love,QB,3,James,James,James,James,1.0,1.0,1,0.0,True,False,False,5.0,4.0,5,4,4,positional_extremist_rb,5
89,89,Christian Kirk,WR,9,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,positional_extremist_rb,5
90,90,Keon Coleman,WR,8,Reid,Reid,Reid,Reid,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,value_purist,5
91,91,Juwan Johnson,TE,3,Ryan J,Ryan J,Ryan J,Ryan J,1.0,1.0,1,0.0,True,False,False,6.0,5.0,6,5,5,emotional,5
92,92,Baker Mayfield,QB,3,Sam,Sam,Sam,Sam,1.0,1.0,1,0.0,True,False,False,4.0,3.0,4,3,3,stars_and_scrubs,5
93,93,Samaje Perine,RB,9,James,James,James,James,1.0,1.0,1,0.0,True,False,False,4.0,3.0,4,3,3,positional_extremist_rb,5
94,94,James Conner,RB,10,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,positional_extremist_rb,5
95,95,Chris Rodriguez Jr,RB,10,Reid,Reid,Reid,Reid,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,value_purist,5
96,96,Cooper Kupp,WR,8,Ryan J,Ryan J,Ryan J,Ryan J,1.0,1.0,1,0.0,True,False,False,5.0,4.0,5,4,4,emotional,5
97,97,Keenan Allen,WR,8,Sam,Sam,Sam,Sam,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,stars_and_scrubs,5
98,98,Kaytron Allen,RB,11,James,James,James,James,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,positional_extremist_rb,5
99,99,Patrick Mahomes,QB,3,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,positional_extremist_rb,5
100,100,Justice Hill,RB,10,Reid,Reid,Reid,Reid,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,value_purist,5
101,101,Jared Goff,QB,3,Ryan J,Ryan J,Ryan J,Ryan J,1.0,1.0,1,0.0,True,False,False,4.0,3.0,4,3,3,emotional,5
102,102,Kaelon Black,RB,14,Sam,Sam,Sam,Sam,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,stars_and_scrubs,5
103,103,Rashod Bateman,WR,9,James,James,James,James,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,positional_extremist_rb,5
104,104,Tre Tucker,WR,10,Ryan J,Ryan J,Ryan J,Ryan J,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,emotional,5
105,105,Kendre Miller,RB,13,Sam,Sam,Sam,Sam,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,stars_and_scrubs,5
106,106,De'Zhaun Stribling,WR,9,James,James,James,James,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,positional_extremist_rb,5
107,107,George Holani,RB,13,Ryan J,Ryan J,Ryan J,Ryan J,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,emotional,5
108,108,Jalen Nailor,WR,10,Ryan J,Ryan J,Ryan J,Ryan J,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,emotional,5
1,1,Kenny Gainwell,RB,3,CJ,CJ,CJ,CJ,256.0,256.0,12,255.0,True,True,False,264.0,8.0,9,8,8,positional_extremist_rb,6
2,2,Bucky Irving,RB,1,Reid,Reid,James,James,273.0,273.0,11,272.0,True,True,False,297.0,24.0,9,8,8,anchor,6
3,3,Jaylen Waddle,WR,1,Coby,Coby,Coby,Coby,254.22222222222223,254.22222222222223,10,254.0,True,True,False,274.0,19.78,9,8,8,anchor,6
4,4,Josh Jacobs,RB,1,Brandon,Brandon,Brad,Brad,252.0,252.0,11,251.0,True,True,False,281.0,29.0,9,8,8,positional_extremist_rb,6
5,5,Tee Higgins,WR,1,Evan,Evan,Travis,Travis,236.66666666666666,236.66666666666666,11,236.0,True,True,False,264.0,27.33,9,8,8,positional_extremist_wr,6
6,6,Joe Flacco,QB,5,James,James,James,James,1.0,1.0,1,0.0,True,False,False,24.0,23.0,8,7,7,anchor,6
7,7,DJ Moore,WR,2,Brad,Brad,Sam,Sam,188.0,188.0,11,184.0,True,True,False,223.0,35.0,9,8,8,emotional,6
8,8,Bhayshul Tuten,RB,1,Ryan J,Ryan J,Ryan J,Ryan J,249.0,249.0,11,248.0,True,True,False,257.0,8.0,9,8,8,positional_extremist_rb,6
9,9,Geno Smith,QB,11,Jason,Jason,Jason,Jason,1.0,1.0,1,0.0,True,False,False,209.0,208.0,9,8,8,positional_extremist_wr,6
10,10,Jeremiyah Love,RB,1,Travis,Travis,Reid,Reid,201.0,201.0,10,200.0,True,True,False,260.0,59.0,9,8,8,anchor,6
11,11,Tony Pollard,RB,2,Sam,Sam,Jason,Jason,181.0,181.0,10,176.0,True,True,False,208.0,27.0,8,7,7,positional_extremist_wr,6
12,12,James Cook,RB,2,Shane,Shane,Evan,Evan,176.0,176.0,10,174.0,True,True,False,184.0,8.0,9,8,8,emotional,6
13,13,Jaylen Warren,RB,2,CJ,CJ,Brandon,Brandon,85.456,85.456,10,84.456,True,True,False,184.0,98.54,9,8,8,positional_extremist_rb,6
14,14,Jonathon Brooks,RB,2,Reid,Reid,Shane,Shane,49.0,49.0,9,48.0,True,True,False,324.0,275.0,9,8,8,balanced,6
15,15,Jordan Mason,RB,3,Coby,Coby,Shane,Shane,49.755113712577035,49.755113712577035,9,48.755113712577035,True,True,False,275.0,225.24,8,7,7,balanced,6
16,16,Nick Chubb,RB,5,Brandon,Brandon,Shane,Shane,16.435874999999996,16.435874999999996,5,15.435874999999998,True,True,False,225.24,208.8,7,6,6,balanced,6
17,17,RJ Harvey,RB,3,Evan,Evan,Shane,Shane,46.30430624753954,46.30430624753954,10,45.30430624753954,True,True,False,208.8,162.5,6,5,5,balanced,6
18,18,Rashee Rice,WR,1,James,James,Brandon,Brandon,42.0,42.0,9,41.0,True,True,False,98.54,56.54,8,7,7,positional_extremist_rb,6
19,19,Bill Croskey-Merritt,RB,4,Brad,Brad,Shane,Shane,29.0,29.0,9,28.0,True,True,False,162.5,133.5,5,4,4,balanced,6
20,20,Rachaad White,RB,4,Ryan J,Ryan J,Shane,Shane,29.0,29.0,10,28.0,True,True,False,133.5,104.5,4,3,3,balanced,6
21,21,Terry McLaurin,WR,2,Jason,Jason,Sam,Sam,27.450111111111113,27.450111111111113,9,26.450111111111113,True,True,False,35.0,7.55,8,7,7,emotional,6
22,22,JK Dobbins,RB,5,Travis,Travis,Shane,Shane,28.096624999999996,28.096624999999996,7,27.096624999999996,True,True,False,104.5,76.4,3,2,2,balanced,6
23,23,Deebo Samuel,WR,2,Sam,Sam,Brad,Brad,22.0,22.0,9,21.0,True,True,False,29.0,7.0,8,7,7,positional_extremist_rb,6
24,24,Joe Burrow,QB,1,Shane,Shane,Brandon,Brandon,21.0,21.0,6,20.0,True,True,False,56.54,35.54,7,6,6,positional_extremist_rb,6
25,25,Chuba Hubbard,RB,3,CJ,CJ,Jason,Jason,21.0,21.0,8,20.0,True,True,False,27.0,6.0,7,6,6,positional_extremist_wr,6
26,26,Carnell Tate,WR,3,Reid,Reid,Shane,Shane,15.87045833333333,15.87045833333333,5,14.87045833333333,True,True,False,76.4,60.53,2,1,1,balanced,6
27,27,Keaton Mitchell,RB,6,Coby,Coby,Brandon,Brandon,16.812394444444447,16.812394444444447,6,16.0,True,True,False,35.54,18.73,6,5,5,positional_extremist_rb,6
28,28,TJ Hockenson,TE,1,Brandon,Brandon,Travis,Travis,15.920645,15.920645,6,14.920645,True,True,False,27.33,11.41,8,7,7,positional_extremist_wr,6
