pick,nomination_number,player,position,tier,nominating_team,nominator,winning_team,winner,sale_price,price,bidder_count,second_highest_bid,sale_is_organic,sale_has_competing_bid,forced_final_slot,budget_before,budget_after,slots_before,slots_after,minimum_reserve_after,winner_archetype,seed
38,38,Austin Ekeler,RB,6,CJ,CJ,Sam,Sam,14.151842222222221,14.151842222222221,6,13.151842222222221,True,True,False,78.83,64.68,4,3,3,price_enforcer,0
39,39,Romeo Doubs,WR,5,Travis,Travis,Ryan J,Ryan J,13.574722222222222,13.574722222222222,6,12.574722222222222,True,True,False,55.48,41.91,4,3,3,balanced,0
40,40,Lamar Jackson,QB,1,Ryan J,Ryan J,Sam,Sam,12.52636,12.52636,5,11.855834999999999,True,True,False,64.68,52.15,3,2,2,price_enforcer,0
41,41,Travis Etienne,RB,5,Jason,Jason,Brad,Brad,11.059155555555556,11.059155555555556,6,10.059155555555556,True,True,False,64.67,53.61,2,1,1,price_enforcer,0
42,42,Ricky Pearsall,WR,6,Brad,Brad,Ryan J,Ryan J,10.309999999999999,10.309999999999999,6,9.309999999999999,True,True,False,41.91,31.6,3,2,2,balanced,0
43,43,Keaton Mitchell,RB,6,Shane,Shane,Brad,Brad,10.257380000000001,10.257380000000001,5,9.978033333333334,True,True,False,53.61,43.35,1,0,0,price_enforcer,0
44,44,Josh Downs,WR,4,Evan,Evan,Sam,Sam,8.311888888888891,8.311888888888891,5,7.31188888888889,True,True,False,52.15,43.84,2,1,1,price_enforcer,0
45,45,Chris Godwin Jr,WR,3,Sam,Sam,Sam,Sam,7.99,7.99,6,6.99,True,True,False,43.84,35.85,1,0,0,price_enforcer,0
46,46,Brian Robinson Jr,RB,6,Reid,Reid,Ryan J,Ryan J,6.145120000000001,6.145120000000001,5,5.145120000000001,True,True,False,31.6,25.45,2,1,1,balanced,0
47,47,Michael Pittman Jr,WR,4,James,James,Ryan J,Ryan J,5.81673888888889,5.81673888888889,5,5.123946666666668,True,True,False,25.45,19.63,1,0,0,balanced,0
48,48,Matthew Golden,WR,4,Brandon,Brandon,Shane,Shane,6.378466666666666,6.378466666666666,5,3.5346666666666664,True,True,False,47.64,41.26,6,5,5,positional_extremist_wr,0
