"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Nate Boerkircher","JAC","TE64","0.0","0.0","0.0","14.9","156.8","1.3","0.5","29.8"
"Jake Tonges","SF","TE65","0.0","0.0","0.0","15.1","149.9","1.2","0.0","29.8"
"Isaiah Bond","CLE","WR126","4.3","23.6","0.1","11.4","151.7","0.9","0.2","29.0"
"Skyler Bell","BUF","WR127","0.0","0.0","0.0","12.1","163.6","1.0","0.1","27.9"
"Tutu Atwell","LAR","WR128","2.3","12.0","0.1","9.7","139.2","0.9","0.1","26.0"
"Nate Adkins","DEN","TE66","0.0","0.0","0.0","11.9","88.4","1.8","0.0","25.8"
"Cade Stover","HOU","TE67","0.0","0.0","0.0","15.3","127.8","0.9","0.1","25.5"
"Jackson Hawes","BUF","TE68","0.0","0.0","0.0","10.6","115.1","1.4","0.0","25.4"
"Ben Sinnott","WAS","TE69","0.0","0.0","0.0","11.0","114.2","1.4","0.0","25.3"
"Olamide Zaccheaus","ATL","WR129","0.0","0.0","0.0","14.3","142.3","0.6","0.2","24.8"
"Emari Demercado","DAL","RB83","29.4","166.2","0.4","4.5","34.3","0.1","0.1","24.8"
"Jack Endries","CIN","TE70","0.0","0.0","0.0","13.0","123.0","1.0","0.0","24.8"
"Luke Schoonmaker","DAL","TE71","0.0","0.0","0.0","13.2","121.5","0.9","0.0","24.4"
"Colbie Young","CIN","WR130","0.0","0.0","0.0","10.6","131.2","1.0","0.1","24.2"
"Luke Musgrave","GB","TE72","0.0","0.0","0.0","13.7","132.3","0.7","0.0","24.1"
"Corey Kiner","NE","RB84","33.0","149.0","1.0","2.0","20.0","0.0","0.0","23.9"
"Ollie Gordon II","MIA","RB85","39.2","137.6","1.1","2.5","15.9","0.1","0.1","23.3"
"Roman Wilson","PIT","WR131","0.0","0.0","0.0","11.8","135.0","0.6","0.1","22.9"
"Foster Moreau","HOU","TE73","0.0","0.0","0.0","9.3","105.2","1.3","0.0","22.9"
"Bauer Sharp","TB","TE74","0.0","0.0","0.0","11.0","113.0","1.0","0.0","22.8"
"Brenen Thompson","LAC","WR132","2.1","11.3","0.1","9.5","121.7","0.7","0.1","22.7"
"Kendre Miller","NO","RB86","29.4","119.9","1.3","2.5","16.8","0.0","0.0","22.6"
"Dallen Bentley","DEN","TE75","0.0","0.0","0.0","12.0","104.0","1.0","0.0","22.4"
"Audric Estime","NO","RB87","30.0","122.0","1.0","3.0","24.0","0.0","0.0","22.1"
"Mo Alie-Cox","IND","TE76","0.0","0.0","0.0","10.6","113.7","0.9","0.1","22.1"
"Will Shipley","PHI","RB88","9.2","39.5","0.3","11.3","83.4","0.4","0.1","21.9"
"Charlie Woerner","ATL","TE77","0.0","0.0","0.0","13.5","114.4","0.6","0.0","21.7"
"Isaiah Williams","NYJ","WR133","2.2","12.7","0.1","11.8","114.5","0.4","0.1","21.6"
"Jaylin Lane","WAS","WR134","0.0","0.0","0.0","9.3","118.7","0.8","0.1","21.2"
"Thomas Fidone II","NYG","TE78","0.0","0.0","0.0","10.0","101.0","1.0","0.0","21.1"
"Jared Wiley","KC","TE79","0.0","0.0","0.0","11.0","96.0","1.0","0.0","21.1"
"Elijah Sarratt","BAL","WR135","0.0","0.0","0.0","8.3","123.6","0.8","0.1","20.9"
"Eli Heidenreich","PIT","RB89","29.0","117.0","1.0","2.0","21.0","0.0","0.0","20.8"
"Hunter Luepke","DAL","RB90","13.4","56.4","0.4","8.6","61.6","0.4","0.1","20.7"
"Connor Heyward","LV","TE80","4.2","17.4","0.1","9.0","65.5","1.1","0.0","20.0"
"Kaytron Allen","WAS","RB91","23.6","110.8","0.7","3.0","25.6","0.1","0.0","19.9"
"Will Mallory","IND","TE81","0.0","0.0","0.0","8.0","97.0","1.0","0.0","19.7"
"Raheim Sanders","CLE","RB92","29.0","107.0","1.0","2.0","17.0","0.0","0.0","19.4"
"Odell Beckham Jr.","NYG","WR136","0.0","0.0","0.0","9.2","113.1","0.6","0.1","19.3"
"Kylen Granson","TEN","TE82","0.0","0.0","0.0","10.0","83.0","1.0","0.0","19.3"
"Nicholas Singleton","TEN","RB93","22.6","93.8","0.8","3.1","25.6","0.1","0.1","18.5"
"Oscar Delp","NO","TE83","0.0","0.0","0.0","9.4","94.5","0.7","0.0","18.5"
"Demond Claiborne","MIN","RB94","21.6","96.2","0.7","3.3","25.2","0.1","0.0","18.5"
"Durham Smythe","BAL","TE84","0.0","0.0","0.0","8.9","86.4","0.9","0.0","18.2"
"Tahj Brooks","CIN","RB95","30.3","128.1","0.9","0.0","0.0","0.0","0.1","18.2"
"Tez Johnson","TB","WR137","4.4","23.2","0.2","6.7","77.5","0.6","0.1","18.1"
"Jimmy Horn Jr.","CAR","WR138","6.2","37.0","0.2","6.6","75.5","0.4","0.1","17.9"
"Jordan Whittington","LAR","WR139","2.3","12.1","0.1","7.5","84.7","0.6","0.1","17.6"
"Mitchell Evans","CAR","TE85","0.0","0.0","0.0","8.0","71.5","1.0","0.0","17.2"
"DJ Giddens","IND","RB96","22.3","92.9","0.7","2.6","20.0","0.1","0.0","17.1"
"Rasheen Ali","BAL","RB97","13.8","54.5","0.2","5.3","40.7","0.6","0.0","16.9"
"Payne Durham","TB","TE86","0.0","0.0","0.0","7.6","80.8","0.8","0.0","16.7"
"Konata Mumpfield","LAR","WR140","0.0","0.0","0.0","6.6","83.7","0.8","0.1","16.1"
"Max Klare","LAR","TE87","0.0","0.0","0.0","7.5","82.5","0.7","0.0","16.1"
"Grant Calcaterra","PHI","TE88","0.0","0.0","0.0","8.5","87.5","0.5","0.0","16.0"
"Seydou Traore","MIA","TE89","0.0","0.0","0.0","8.1","78.7","0.7","0.0","15.8"
"Barion Brown","NO","WR141","0.0","0.0","0.0","7.2","91.4","0.4","0.1","15.1"
"Jalen Royals","KC","WR142","0.0","0.0","0.0","6.8","78.1","0.6","0.1","14.9"
"Brevyn Spann-Ford","DAL","TE90","0.0","0.0","0.0","7.4","71.4","0.7","0.0","14.8"
"Tanner Koziol","JAC","TE91","0.0","0.0","0.0","7.0","73.8","0.6","0.0","14.7"
"KeAndre Lambert-Smith","LAC","WR143","0.0","0.0","0.0","6.4","80.6","0.6","0.1","14.6"
"Sam Roush","CHI","TE92","0.0","0.0","0.0","6.8","72.4","0.6","0.0","14.5"
"Michael Burton","CLE","RB98","6.6","13.8","0.6","5.1","33.3","0.6","0.0","14.0"
"Josh Whyle","GB","TE93","0.0","0.0","0.0","7.1","61.8","0.7","0.0","13.8"
"Laquon Treadwell","IND","WR144","0.0","0.0","0.0","7.1","78.3","0.4","0.1","13.7"
"Hunter Long","ARI","TE94","0.0","0.0","0.0","7.9","60.6","0.6","0.0","13.6"
"Bo Melton","GB","WR145","2.2","12.7","0.1","5.1","65.8","0.4","0.1","13.4"
"Josh Cuevas","BAL","TE95","0.0","0.0","0.0","5.7","66.4","0.6","0.0","13.3"
"Ian Thomas","LV","TE96","0.0","0.0","0.0","6.9","61.5","0.6","0.0","13.0"
"Ko Kieft","TB","TE97","0.0","0.0","0.0","5.8","58.5","0.7","0.0","12.6"
"Andrew Beck","NYJ","RB99","0.5","4.0","0.0","4.6","31.8","1.1","0.0","12.5"
"Alec Ingold","LAC","RB100","2.1","8.6","0.1","7.9","58.7","0.2","0.1","12.4"
"Drew Ogletree","IND","TE98","0.0","0.0","0.0","5.8","55.6","0.6","0.0","12.2"
"Ameer Abdullah","JAC","RB101","8.8","36.5","0.5","4.4","30.5","0.0","0.0","12.0"
"Blake Whiteheart","CLE","TE99","0.0","0.0","0.0","7.1","63.4","0.3","0.1","11.9"
"Tay Martin","DET","WR146","4.7","25.7","0.3","3.4","40.7","0.3","0.1","11.5"
"Isaac Guerendo","SF","RB102","12.5","61.0","0.5","1.5","14.5","0.0","0.0","11.3"
"Malachi Corley","CLE","WR147","6.4","43.9","0.2","3.4","33.7","0.1","0.1","11.2"
"Chris Manhertz","NYG","TE100","0.0","0.0","0.0","5.4","50.6","0.6","0.0","11.1"
"Devin Singletary","NYG","RB103","17.5","65.0","0.5","0.5","5.0","0.0","0.0","10.3"
"Kene Nwangwu","NYJ","RB104","15.5","66.0","0.5","0.0","2.0","0.0","0.0","9.8"
"Bam Knight","ARI","RB105","13.0","43.0","0.5","1.5","10.0","0.0","0.0","9.1"
"Derius Davis","LAC","WR148","2.1","11.0","0.1","3.5","38.1","0.3","0.1","8.6"
"Adam Prentice","DEN","RB106","4.1","17.4","0.1","4.1","29.8","0.2","0.0","8.4"
"Dohnte Meyers","CIN","WR149","0.0","0.0","0.0","3.7","42.5","0.4","0.0","8.3"
"Xavier Smith","LAR","WR150","0.0","0.0","0.0","3.6","44.3","0.3","0.0","8.1"
"Efton Chism III","NE","WR151","0.0","0.0","0.0","3.5","42.7","0.3","0.0","7.8"
"Jacob Cowing","SF","WR152","0.0","0.0","0.0","3.3","44.1","0.3","0.0","7.7"
"Max Bredeson","MIN","RB107","2.0","8.5","0.1","4.5","29.5","0.2","0.0","7.4"
"Tyler Conklin","DET","TE101","0.0","0.0","0.0","3.8","35.5","0.3","0.0","7.3"
"Kaleb Johnson","GB","RB108","7.8","33.2","0.3","1.4","10.3","0.1","0.0","7.2"
"Josh Cameron","JAC","WR153","0.0","0.0","0.0","3.2","39.9","0.2","0.0","7.0"
"Tai Felton","MIN","WR154","0.0","0.0","0.0","3.7","37.0","0.2","0.0","6.9"
"Jonathan Mingo","DAL","WR155","0.0","0.0","0.0","2.9","40.5","0.3","0.0","6.9"
"Luke Farrell","SF","TE102","0.0","0.0","0.0","3.8","36.0","0.3","0.0","6.9"
"Eric Saubert","SEA","TE103","0.0","0.0","0.0","3.4","34.4","0.3","0.0","6.9"
"Darius Cooper","PHI","WR156","0.0","0.0","0.0","3.3","37.7","0.3","0.0","6.8"
"Johnny Mundt","PHI","TE104","0.0","0.0","0.0","3.5","35.4","0.2","0.0","6.5"
"Reggie Virgil","ARI","WR157","0.0","0.0","0.0","3.4","39.2","0.1","0.0","6.4"
"Dareke Young","LV","WR158","0.0","0.0","0.0","3.3","38.3","0.1","0.0","6.3"
"Carsen Ryan","CLE","TE105","0.0","0.0","0.0","3.8","33.8","0.2","0.0","6.2"
"Brycen Tremayne","CAR","WR159","0.0","0.0","0.0","3.3","36.0","0.2","0.0","6.1"
"Riley Nowakowski","PIT","TE106","0.0","0.0","0.0","4.3","29.2","0.2","0.0","6.0"
"Reggie Gilliam","NE","RB109","0.0","0.0","0.0","4.1","29.9","0.2","0.0","5.9"
"Sione Vaki","DET","RB110","6.9","27.5","0.2","1.2","8.7","0.1","0.0","5.7"
"Patrick Ricard","NYG","RB111","0.0","0.0","0.0","3.9","26.8","0.1","0.0","5.4"
"Arian Smith","NYJ","WR160","4.3","23.7","0.2","0.0","0.0","0.0","0.0","3.5"
"Ben Skowronek","PIT","WR161","0.0","0.0","0.0","1.8","16.9","0.1","0.0","3.0"
"British Brooks","HOU","RB112","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Kameron Johnson","TB","WR162","2.2","12.1","0.1","0.0","0.0","0.0","0.0","1.8"
"Kaden Wetjen","PIT","WR163","2.1","11.7","0.1","0.0","0.0","0.0","0.0","1.6"
"Braxton Berrios","NYG","WR164","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gunner Olszewski","NYG","WR165","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","WR166","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tylan Wallace","CLE","WR167","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","WR168","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","WR169","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","WR170","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyrell Shavers","BUF","WR171","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Tipton","NO","WR172","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dont'e Thornton Jr.","LV","WR173","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","WR174","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","WR175","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","WR176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner Hudson","CIN","TE107","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Quintin Morris","JAC","TE108","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","TE109","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","TE110","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lucas Krull","DEN","TE111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben Sims","MIA","TE112","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","TE113","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tip Reiman","ARI","TE114","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CJ Dippre","TB","TE115","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Royer","CLE","TE116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jackson Meeks","DET","WR177","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeeJay Dallas","MIN","RB113","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jerome Ford","WAS","RB114","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Neal","NO","RB115","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Badie","DEN","RB116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Benson","ARI","RB117","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trevor Etienne","CAR","RB118","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Laube","LV","RB119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","RB120","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
