"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Courtland Sutton","DEN","WR29","0.0","0.0","0.0","67.4","884.4","7.2","0.2","164.8"
"Alec Pierce","IND","WR30","0.0","0.0","0.0","56.3","974.9","6.4","0.2","163.7"
"Marvin Harrison Jr.","ARI","WR31","0.0","0.0","0.0","66.2","946.2","6.0","0.3","163.2"
"Mike Evans","SF","WR32","0.0","0.0","0.0","64.9","914.5","6.6","0.2","163.1"
"DK Metcalf","PIT","WR33","0.7","3.3","0.3","64.3","926.4","6.1","0.2","163.0"
"Tyler Warren","IND","TE4","0.0","0.0","0.0","78.9","877.8","5.5","0.3","159.7"
"Chuba Hubbard","CAR","RB31","183.1","748.0","5.1","36.0","255.9","1.8","0.9","157.7"
"Harold Fannin Jr.","CLE","TE5","0.0","0.0","0.0","82.6","834.3","5.7","0.8","157.5"
"Parker Washington","JAC","WR34","5.0","13.7","0.1","62.6","862.5","5.7","0.4","153.1"
"Brian Thomas Jr.","JAC","WR35","2.7","17.7","0.4","58.0","870.9","5.4","0.2","152.1"
"Jonathon Brooks","CAR","RB32","189.1","781.0","5.1","30.9","235.6","1.1","1.5","151.7"
"George Kittle","SF","TE6","0.0","0.0","0.0","70.2","795.8","6.2","0.2","151.7"
"MarShawn Lloyd","GB","RB33","193.4","823.7","6.8","20.2","158.7","1.0","1.8","151.4"
"Michael Pittman Jr.","PIT","WR36","0.0","0.0","0.0","80.5","805.6","5.0","0.3","150.0"
"Kyle Pitts Sr.","ATL","TE7","0.0","0.0","0.0","77.2","845.2","4.4","0.1","149.2"
"Sam LaPorta","DET","TE8","0.0","0.0","0.0","70.5","813.7","5.5","0.2","149.0"
"Dallas Goedert","PHI","TE9","0.0","0.0","0.0","65.5","690.1","7.6","0.2","146.8"
"Kenny Gainwell","TB","RB34","116.6","512.1","4.2","49.7","351.6","2.0","0.9","146.7"
"Carnell Tate","TEN","WR37","0.7","3.0","0.0","65.2","887.1","4.5","1.4","145.8"
"Jayden Reed","GB","WR38","12.6","94.5","0.2","63.2","753.2","4.8","0.4","145.4"
"Kyle Monangai","CHI","RB35","190.5","814.4","5.1","23.0","195.2","0.4","0.7","144.5"
"Travis Kelce","KC","TE10","0.0","0.0","0.0","74.9","784.8","4.8","0.3","144.4"
"Tucker Kraft","GB","TE11","0.0","0.0","0.0","60.0","761.5","6.4","0.2","144.2"
"Michael Wilson","ARI","WR39","0.0","0.7","0.0","67.5","839.7","4.5","0.2","144.1"
"Quentin Johnston","LAC","WR40","1.7","5.9","0.0","53.9","762.9","6.9","0.7","143.9"
"Rachaad White","WAS","RB36","137.0","605.2","5.4","35.7","247.7","1.6","0.8","143.2"
"Jakobi Meyers","JAC","WR41","4.3","22.7","0.1","66.9","770.6","5.1","0.8","142.2"
"Chris Godwin Jr.","TB","WR42","0.3","0.3","0.0","67.8","773.4","5.2","0.3","141.8"
"Jordan Addison","MIN","WR43","2.7","37.2","0.4","55.3","758.3","5.4","0.2","141.5"
"Aaron Jones Sr.","MIN","RB37","150.0","639.1","3.1","40.8","301.3","1.7","1.0","141.1"
"Jacory Croskey-Merritt","WAS","RB38","185.1","831.0","7.5","12.3","91.2","0.2","1.8","141.1"
"RJ Harvey","DEN","RB39","107.6","406.2","4.0","45.9","341.5","3.2","0.7","139.1"
"Xavier Worthy","KC","WR44","15.8","101.4","0.9","54.9","715.1","4.2","0.2","139.1"
"Wan'Dale Robinson","TEN","WR45","2.0","9.5","0.1","79.9","805.1","3.0","0.3","139.0"
"De'Zhaun Stribling","SF","WR46","1.5","6.5","0.0","56.1","829.2","4.9","1.3","138.4"
"Jordan Mason","MIN","RB40","192.9","879.3","6.2","14.5","75.8","0.1","1.1","138.3"
"Matthew Golden","GB","WR47","6.1","30.8","0.1","58.0","780.4","4.6","0.4","137.4"
"Mark Andrews","BAL","TE12","0.0","0.0","0.0","59.6","618.2","7.7","0.3","137.3"
"Romeo Doubs","NE","WR48","0.0","0.0","0.0","57.1","745.1","5.5","0.3","135.3"
"Stefon Diggs","WAS","WR49","0.3","0.7","0.0","68.3","761.1","4.2","0.3","135.1"
"Blake Corum","LAR","RB41","172.0","822.5","6.4","11.9","80.6","0.2","0.7","134.7"
"Deebo Samuel Sr.","SF","WR50","29.1","112.1","1.1","56.8","638.8","4.4","0.9","134.3"
"Isaiah Likely","NYG","TE13","0.0","0.0","0.0","63.7","744.4","5.0","1.3","133.9"
"KC Concepcion","CLE","WR51","4.2","22.5","0.1","63.8","792.5","3.6","1.3","132.8"
"Rashid Shaheed","SEA","WR52","13.4","88.9","0.3","49.9","754.7","3.8","0.8","131.7"
"Dalton Kincaid","BUF","TE14","0.0","0.0","0.0","56.8","706.3","5.5","0.2","131.4"
"Jake Ferguson","DAL","TE15","0.0","0.0","0.0","74.0","605.6","5.9","1.4","130.4"
"Khalil Shakir","BUF","WR53","1.1","5.5","0.0","69.7","725.8","3.9","0.8","130.1"
"Josh Downs","IND","WR54","1.4","4.2","0.0","69.0","704.6","4.2","0.8","129.4"
"Jalen Coker","CAR","WR55","0.0","0.0","0.0","60.1","716.8","4.5","0.8","127.1"
"Josh Jacobs","GB","RB42","151.6","615.5","5.9","19.9","158.4","1.0","1.0","126.7"
"Jerry Jeudy","CLE","WR56","0.5","2.0","0.0","59.0","775.4","3.4","0.7","125.9"
"Hunter Henry","NE","TE16","0.0","0.0","0.0","55.5","651.0","5.4","0.1","125.2"
"Calvin Ridley","TEN","WR57","4.5","27.5","0.6","46.7","761.7","3.2","0.2","124.7"
"Makai Lemon","PHI","WR58","1.5","6.5","0.0","52.6","736.8","4.3","1.3","124.1"
"Juwan Johnson","NO","TE17","0.0","0.0","0.0","65.2","736.3","3.3","1.3","123.3"
"Denzel Boston","CLE","WR59","1.0","5.0","0.0","59.2","737.6","3.5","1.3","122.1"
"Brenton Strange","JAC","TE18","0.0","0.0","0.0","60.0","661.3","4.3","0.2","121.8"
"Tre Tucker","LV","WR60","11.2","54.7","0.2","50.2","631.8","3.8","0.1","117.0"
"Dalton Schultz","HOU","TE19","0.0","0.0","0.0","65.9","629.0","3.4","0.2","115.7"
"Tyjae Spears","TEN","RB43","94.8","379.1","3.0","45.8","306.0","1.2","0.7","115.1"
"Rashod Bateman","BAL","WR61","0.0","0.0","0.0","38.8","598.2","6.0","0.2","114.8"
"Kayshon Boutte","HOU","WR62","0.0","0.0","0.0","45.1","628.2","4.8","0.2","113.7"
"Woody Marks","HOU","RB44","145.5","567.3","2.7","24.1","197.2","1.8","0.8","113.7"
"Keenan Allen","IND","WR63","0.0","0.0","0.0","58.4","606.9","3.9","0.3","112.4"
"Ja'Kobi Lane","BAL","WR64","1.5","8.5","0.0","39.2","591.6","5.4","0.7","110.6"
"Jalen McMillan","TB","WR65","4.7","26.8","0.1","46.6","606.1","3.9","0.2","110.4"
"Jauan Jennings","MIN","WR66","0.0","0.0","0.0","48.9","557.7","5.2","0.7","109.9"
"T.J. Hockenson","MIN","TE20","0.0","0.0","0.0","64.1","574.9","3.3","0.2","108.9"
"Pat Freiermuth","PIT","TE21","0.0","0.0","0.0","53.0","559.6","4.3","0.2","107.6"
"Zach Charbonnet","SEA","RB45","125.9","513.8","5.3","18.4","136.3","0.5","0.7","107.5"
"Greg Dulcich","MIA","TE22","0.0","0.0","0.0","54.9","621.1","3.2","1.2","106.4"
"Kenyon Sadiq","NYJ","TE23","0.0","0.0","0.0","50.7","559.2","4.3","0.7","105.8"
"Jalen Nailor","LV","WR67","2.0","9.0","0.0","43.6","587.8","4.0","0.2","105.4"
"Terrance Ferguson","LAR","TE24","0.0","0.0","0.0","39.0","532.8","5.1","0.2","103.2"
"Devaughn Vele","NO","WR68","0.0","0.0","0.0","47.7","567.4","3.7","0.2","102.3"
"Cade Otton","TB","TE25","0.0","0.0","0.0","54.8","557.1","3.1","0.1","101.4"
"Cooper Kupp","SEA","WR69","0.5","1.5","0.0","47.4","583.8","3.4","0.7","101.4"
"AJ Barner","SEA","TE26","0.0","0.0","0.0","48.6","469.5","4.9","0.2","100.1"
"Chig Okonkwo","WAS","TE27","0.0","0.0","0.0","52.7","568.7","2.8","0.1","99.6"
"Justice Hill","BAL","RB46","61.3","296.4","2.3","32.7","283.1","1.8","0.2","98.7"
"Jaylin Noel","HOU","WR70","5.1","17.6","0.1","45.3","517.0","3.6","0.3","97.5"
"Adonai Mitchell","NYJ","WR71","2.1","5.1","0.1","40.0","551.8","3.3","0.7","94.5"
"Darren Waller","CAR","TE28","0.0","0.0","0.0","43.3","446.2","4.7","0.1","94.1"
"Alvin Kamara","NO","RB47","105.0","406.6","2.4","30.9","216.7","0.6","0.8","94.1"
"Chris Rodriguez Jr.","JAC","RB48","135.5","561.2","5.1","5.5","43.4","0.1","0.6","93.1"
"Mike Washington Jr.","LV","RB49","126.7","489.7","3.1","17.9","145.5","0.6","1.2","92.8"
"Dylan Sampson","CLE","RB50","74.2","256.7","1.4","37.9","291.7","2.1","1.2","92.0"
"AJ Dillon","CAR","RB51","121.0","532.0","3.0","18.0","146.0","1.0","5.0","90.8"
"Evan Engram","DEN","TE29","0.0","0.0","0.0","53.4","475.8","2.7","0.1","90.4"
"Braelon Allen","NYJ","RB52","111.7","448.9","4.5","13.9","100.8","0.7","1.7","89.6"
"Jordyn Tyson","NO","WR72","1.0","4.0","0.0","38.8","538.6","2.9","0.7","89.4"
"Dontayvion Wicks","PHI","WR73","0.0","0.0","0.0","39.7","520.1","2.9","0.4","88.6"
"Germie Bernard","PIT","WR74","2.1","10.8","0.0","41.2","507.6","2.9","0.7","88.5"
"Malik Washington","MIA","WR75","13.5","80.4","0.7","45.1","410.7","2.3","0.8","88.5"
"Mike Gesicki","CIN","TE30","0.0","0.0","0.0","42.7","447.9","3.7","0.1","88.3"
"Chris Bell","MIA","WR76","1.0","5.5","0.0","40.6","516.1","2.8","0.7","88.0"
"Samaje Perine","CIN","RB53","98.4","441.3","3.7","17.9","135.6","0.4","1.9","87.1"
"Gunnar Helm","TEN","TE31","0.0","0.0","0.0","48.9","443.6","3.1","0.2","87.1"
"Antonio Williams","WAS","WR77","3.5","18.7","0.1","35.4","495.9","3.1","1.2","86.3"
