pick,player,position,tier,nominator,winner,price,winner_archetype,forced_final_slot,iteration
78,Jajuan Jennings,WR,9,Coby,Brandon,2.2251631304347828,tier_controller,False,0
79,Cam Ward,QB,14,Brad,Brad,1.0,stars_and_scrubs,False,0
80,Keaton Mitchell,RB,7,Brandon,Evan,8.47,anchor,True,0
81,Amon-Ra St Brown,WR,5,Shane,Coby,8.17,anchor,True,0
82,Jalen Coker,WR,8,CJ,Brad,1.2478260869565219,stars_and_scrubs,False,0
83,Tyrone Tracy Jr,RB,9,Travis,Brandon,4.64,tier_controller,True,0
84,Caleb Williams,QB,2,Reid,Brad,1.6108695652173912,stars_and_scrubs,False,0
85,Isiah Pacheco,RB,8,Jason,Brad,1.2347826086956522,stars_and_scrubs,False,0
86,Jakobi Meyers,WR,7,Sam,Brad,1.2304347826086957,stars_and_scrubs,False,0
87,Khalil Shakir,WR,8,Brad,Jason,1.2260869565217392,stars_and_scrubs,False,0
88,KC Concepcion,WR,9,Shane,Jason,1.2217391304347827,stars_and_scrubs,False,0
89,George Kittle,TE,2,CJ,Jason,1.2173913043478262,stars_and_scrubs,False,0
90,Joe Burrow,QB,2,Travis,Sam,1.2130434782608697,stars_and_scrubs,False,0
91,Ricky Pearsall,WR,9,Reid,Sam,1.208695652173913,stars_and_scrubs,False,0
92,Jonah Coleman,RB,9,Jason,Sam,1.2043478260869565,stars_and_scrubs,False,0
93,Tank Bigsby,RB,9,Sam,Sam,1.56,stars_and_scrubs,False,0
94,Emmett Johnson,RB,10,Brad,Sam,1.29,stars_and_scrubs,False,0
95,DeVon Achane,RB,8,Shane,Jason,1.1600000000000001,stars_and_scrubs,False,0
96,Jayden Daniels,QB,2,CJ,Brad,1.12,stars_and_scrubs,False,0
97,Mike Washington Jr.,RB,8,Travis,Reid,1.1100000000000003,tier_controller,False,0
98,Jayden Higgins,WR,10,Reid,CJ,1.1500000000000004,positional_extremist_wr,False,0
99,Brian Thomas Jr,WR,10,Jason,Jason,1.0,stars_and_scrubs,False,0
100,Marvin Harrison Jr,WR,10,Sam,Sam,1.0,stars_and_scrubs,False,0
101,Jake Ferguson,TE,3,Brad,Shane,1.0399999999999991,positional_extremist_rb,False,0
102,Isaiah Likely,TE,3,Shane,Shane,1.0,positional_extremist_rb,False,0
103,Kimani Vidal,RB,10,CJ,CJ,1.0,positional_extremist_wr,False,0
104,Travis Kelce,TE,2,Travis,Travis,1.0,emotional,False,0
105,Trevor Lawrence,QB,3,Reid,Reid,1.0,tier_controller,False,0
106,Ray Davis,RB,10,Jason,Jason,1.0,stars_and_scrubs,False,0
107,Braelon Allen,RB,10,Sam,Sam,1.0,stars_and_scrubs,False,0
108,Hunter Henry,TE,3,Brad,Brad,1.0,stars_and_scrubs,False,0
109,Cooper Kupp,WR,11,Shane,Shane,1.0,positional_extremist_rb,False,0
110,Dalton Schultz,TE,4,CJ,CJ,1.0,positional_extremist_wr,False,0
111,Brenton Strange,TE,4,Travis,Travis,1.0,emotional,False,0
112,Noah Fant,TE,5,Reid,Reid,1.0,tier_controller,False,0
